"""Genus""","""Species""",,AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted
"""Acropora""","""kosurini""",,288216,exact,Acropora kosurini,288216,Acropora kosurini
"""Acropora""","""lamarcki""",,288217,exact,Acropora lamarcki,288217,Acropora lamarcki
"""Acropora""","""lianae""",,430648,exact,Acropora lianae,430648,Acropora lianae
"""Acropora""","""lokani""",,288219,exact,Acropora lokani,288219,Acropora lokani
"""Acropora""","""loveli""",,740834,exact,Acropora loveli,740834,Acropora loveli
"""Acropora""","""macrostoma""",,207091,exact,Acropora macrostoma,207105,Acropora tenuis
"""Acropora""","""maryae""",,288222,exact,Acropora maryae,288222,Acropora maryae
"""Acropora""","""massawensis""",,207004,exact,Acropora massawensis,207050,Acropora polystoma
"""Acropora""","""meridiana""",,430649,exact,Acropora meridiana,730688,Isopora brueggemanni
"""Acropora""","""minuta""",,288223,exact,Acropora minuta,288223,Acropora minuta
"""Acropora""","""mirabilis""",,288224,exact,Acropora mirabilis,288224,Acropora mirabilis
"""Acropora""","""mossambica""",,206988,exact,Acropora mossambica,206988,Acropora mossambica
"""Acropora""","""multiacuta""",,288225,exact,Acropora multiacuta,288225,Acropora multiacuta
"""Acropora""","""nana""",,207100,exact,Acropora nana,207100,Acropora nana
