"nameSp","nameSp_checked"
"Cyphastrea decadia","Cyphastrea decadia"
"Cyphastrea microphthalma","Cyphastrea microphthalma"
"Cyphastrea ocellina","Cyphastrea ocellina"
"Cyphastrea serailia","Cyphastrea serailia"
"Danafungia horrida","Danafungia horrida"
"Dendrogyra cylindrus","Dendrogyra cylindrus"
"Dichocoenia stellaris","Dichocoenia stokesii"
"Dichocoenia stokesii","Dichocoenia stokesii"
"Diploastrea heliopora","Diploastrea heliopora"
"Diploria clivosa","Pseudodiploria clivosa"
"Diploria labyrinthiformis","Diploria labyrinthiformis"
"Diploria strigosa","Pseudodiploria strigosa"
"Dipsastraea danai","Dipsastraea danai"
"Dipsastraea favus","Dipsastraea favus"
"Dipsastraea laxa","Dipsastraea laxa"
"Dipsastraea lizardensis","Dipsastraea lizardensis"
"Dipsastraea maritima","Dipsastraea maritima"
"Dipsastraea matthaii","Dipsastraea matthaii"
"Dipsastraea maxima","Dipsastraea maxima"
"Dipsastraea pallida","Dipsastraea pallida"
"Dipsastraea rotumana","Dipsastraea rotumana"
"Dipsastraea speciosa","Dipsastraea speciosa"
"Dipsastraea truncatus","Dipsastraea truncata"
"Echinophyllia aspera","Echinophyllia aspera"
"Echinophyllia orpheensis","Echinophyllia orpheensis"
"Echinopora forskaliana","Echinopora forskaliana"
"Echinopora gemmacea","Echinopora gemmacea"
"Echinopora horrida","Echinopora horrida"
"Echinopora lamellosa","Echinopora lamellosa"
"Echinopora mammiformis","Echinopora mammiformis"
"Echinopora pacificus","Echinopora pacificus"
"Echinopora taylorae","Echinopora taylorae"
"Euphyllia glabrescens","Euphyllia glabrescens"
"Eusmilia fastigiata","Eusmilia fastigiata"
"Favia fragum","Favia fragum"
"Favia pallida","Dipsastraea pallida"
"Favia veroni","Dipsastraea veroni"
"Favites abdita","Favites abdita"
"Favites chinensis","Favites chinensis"
"Favites complanata","Favites complanata"
"Favites flexuosa","Favites flexuosa"
"Favites halicora","Favites halicora"
"Favites magnistellata","Favites magnistellata"
"Favites pentagona","Favites pentagona"
"Favites rotundata","Favites rotundata"
"Favites russelli","Paragoniastrea russelli"
"Favites valenciennesi","Favites valenciennesi"
"Fungia fungites","Fungia fungites"
"Galaxea acrhelia","Galaxea acrhelia"
"Galaxea astreata","Galaxea astreata"
"Galaxea fascicularis","Galaxea fascicularis"
"Galaxea horrescens","Galaxea horrescens"
"Gardineroseris planulata","Gardineroseris planulata"
"Goniastrea aspera","Coelastrea aspera"
"Goniastrea australensis","Paragoniastrea australensis"
"Goniastrea edwardsi","Goniastrea edwardsi"
"Goniastrea favulus","Goniastrea favulus"
"Goniastrea pectinata","Goniastrea pectinata"
"Goniastrea retiformis","Goniastrea retiformis"
"Goniastrea stelligera","Goniastrea stelligera"
"Goniopora columna","Goniopora columna"
"Goniopora djiboutiensis","Goniopora djiboutiensis"
"Goniopora lobata","Goniopora lobata"
"Goniopora pedunculata","Goniopora pedunculata"
"Goniopora stokesi","Goniopora stokesi"
"Goniopora tenuidens","Goniopora tenuidens"
"Heliofungia actiniformis","Heliofungia actiniformis"
"Heliopora coerulea","Heliopora coerulea"
"Herpolitha limax","Herpolitha limax"
"Hydnophora exesa","Hydnophora exesa"
"Hydnophora grandis","Hydnophora grandis"
"Hydnophora microconos","Hydnophora microconos"
"Hydnophora rigida","Hydnophora rigida"
"Isophyllia rigida","Isophyllia rigida"
"Isophyllia sinuosa","Isophyllia sinuosa"
"Isopora brueggemanni","Isopora brueggemanni"
"Isopora cuneata","Isopora cuneata"
"Isopora palifera","Isopora palifera"
"Leptastrea pruinosa","Leptastrea pruinosa"
"Leptastrea purpurea","Leptastrea purpurea"
"Leptastrea transversa","Leptastrea transversa"
"Leptoria irregularis","Leptoria irregularis"
"Leptoria phrygia","Leptoria phrygia"
"Leptoseris cucullata","Helioseris cucullata"
"Leptoseris gardineri","Leptoseris gardineri"
"Leptoseris papyracea","Leptoseris papyracea"
"Leptoseris yabei","Leptoseris yabei"
"Lithophyllon concinna","Lithophyllon concinna"
"Lobactis scutaria","Lobactis scutaria"
"Lobophyllia corymbosa","Lobophyllia corymbosa"
"Lobophyllia flabelliformis","Lobophyllia flabelliformis"
"Lobophyllia hataii","Lobophyllia hataii"
"Lobophyllia hemprichii","Lobophyllia hemprichii"
"Lobophyllia pachysepta","Acanthastrea pachysepta"
"Lobophyllia robusta","Lobophyllia robusta"
"Madracis auretenra","Madracis auretenra"
"Madracis decactis","Madracis decactis"
"Madracis formosa","Madracis formosa"
"Madracis myriaster","Madracis myriaster"
"Madracis pharensis","Madracis pharensis"
"Madracis senaria","Madracis senaria"
"Manicina areolata","Manicina areolata"
"Meandrina danae","Meandrina danae"
"Meandrina meandrites","Meandrina meandrites"
"Merulina ampliata","Merulina ampliata"
"Merulina scabricula","Merulina scabricula"
"Millepora alcicornis","Millepora alcicornis"
"Millepora complanata","Millepora complanata"
"Millepora dichotoma","Millepora dichotoma"
"Millepora exaesa","Millepora exaesa"
"Millepora intricata","Millepora intricata"
"Millepora platyphylla","Millepora platyphylla"
"Millepora tenera","Millepora tenera"
"Montastraea cavernosa","Montastraea cavernosa"
"Montastrea annularis","Orbicella annularis"
"Montastrea cavernosa","Montastraea cavernosa"
"Montipora aequituberculata","Montipora aequituberculata"
"Montipora caliculata","Montipora caliculata"
"Montipora capitata","Montipora capitata"
"Montipora crassituberculata","Montipora crassituberculata"
"Montipora danae","Montipora danae"
"Montipora digitata","Montipora digitata"
"Montipora dilatata","Montipora dilatata"
"Montipora flabellata","Montipora flabellata"
"Montipora foliosa","Montipora foliosa"
"Montipora foveolata","Montipora foveolata"
"Montipora grisea","Montipora grisea"
"Montipora hispida","Montipora hispida"
"Montipora hoffmeisteri","Montipora hoffmeisteri"
"Montipora informis","Montipora informis"
"Montipora mollis","Montipora mollis"
"Montipora monasteriata","Montipora monasteriata"
"Montipora patula","Montipora patula"
"Montipora peltiformis","Montipora peltiformis"
"Montipora solanderi","Montipora stellata"
"Montipora spongodes","Montipora spongodes"
"Montipora tuberculosa","Montipora tuberculosa"
"Montipora turgescens","Montipora turgescens"
"Montipora undata","Montipora undata"
"Montipora venosa","Montipora venosa"
"Montipora verrucosa","Montipora verrucosa"
"Mussa angulosa","Mussa angulosa"
"Mycedium elephantotus","Mycedium elephantotus"
"Mycetophyllia aliciae","Mycetophyllia aliciae"
"Mycetophyllia danaana","Mycetophyllia danaana"
"Mycetophyllia ferox","Mycetophyllia ferox"
"Mycetophyllia lamarckiana","Mycetophyllia lamarckiana"
"Mycetophyllia reesi","Mycetophyllia reesi"
"Oculina diffusa","Oculina diffusa"
"Oculina valenciennesi","Oculina valenciennesi"
"Oculina varicosa","Oculina varicosa"
"Orbicella annularis","Orbicella annularis"
"Orbicella faveolata","Orbicella faveolata"
"Orbicella franksi","Orbicella franksi"
"Oulophyllia crispa","Oulophyllia crispa"
"Oxypora lacera","Oxypora lacera"
"Pachyseris gemmae","Pachyseris gemmae"
"Pachyseris rugosa","Pachyseris rugosa"
"Pachyseris speciosa","Pachyseris speciosa"
"Palauastrea ramosa","Palauastrea ramosa"
"Paraclavarina triangularis","Merulina triangularis"
"Parascolymia vitensis","Lobophyllia vitiensis"
"Pavona cactus","Pavona cactus"
"Pavona clavus","Pavona clavus"
"Pavona decussata","Pavona decussata"
"Pavona duerdeni","Pavona duerdeni"
"Pavona explanulata","Pavona explanulata"
"Pavona frondifera","Pavona frondifera"
"Pavona gigantea","Pavona gigantea"
"Pavona maldivensis","Pavona maldivensis"
"Pavona minuta","Pavona minuta"
"Pavona varians","Pavona varians"
"Pavona venosa","Pavona venosa"
"Pectinia alcicornis","Pectinia alcicornis"
"Pectinia lactuca","Pectinia lactuca"
"Pectinia paeonia","Pectinia paeonia"
"Physogyra lichtensteini","Physogyra lichtensteini"
"Platygyra acuta","Platygyra acuta"
"Platygyra daedalea","Platygyra daedalea"
"Platygyra lamellina","Platygyra lamellina"
"Platygyra pini","Platygyra pini"
"Platygyra ryukyuensis","Platygyra ryukyuensis"
"Platygyra sinensis","Platygyra sinensis"
"Platygyra verweyi","Platygyra verweyi"
"Plerogyra sinuosa","Plerogyra sinuosa"
"Plesiastrea versipora","Plesiastrea versipora"
"Pleuractis paumotensis","Pleuractis paumotensis"
"Pocillopora capitata","Pocillopora capitata"
"Pocillopora damicornis","Pocillopora damicornis"
"Pocillopora danae","Pocillopora verrucosa"
"Pocillopora elegans","Pocillopora elegans"
"Pocillopora eydouxi","Pocillopora grandis"
"Pocillopora inflata","Pocillopora inflata"
"Pocillopora meandrina","Pocillopora meandrina"
"Pocillopora verrucosa","Pocillopora verrucosa"
"Podabacia crustacea","Podabacia crustacea"
"Porites annae","Porites annae"
"Porites aranetai","Porites aranetai"
"Porites astreoides","Porites astreoides"
"Porites attenuata","Porites attenuata"
"Porites australiensis","Porites australiensis"
"Porites branneri","Porites branneri"
"Porites colonensis","Porites colonensis"
"Porites compressa","Porites compressa"
"Porites cumulatus","Porites cumulatus"
"Porites cylindrica","Porites cylindrica"
"Porites divaricata","Porites divaricata"
"Porites evermanni","Porites evermanni"
"Porites furcata","Porites furcata"
"Porites harrisoni","Porites harrisoni"
"Porites heronensis","Porites heronensis"
"Porites horizontalata","Porites horizontalata"
"Porites lichen","Porites lichen"
"Porites lobata","Porites lobata"
"Porites lutea","Porites lutea"
"Porites mayeri","Porites mayeri"
"Porites monticulosa","Porites monticulosa"
"Porites nigrescens","Porites nigrescens"
"Porites panamensis","Porites panamensis"
"Porites porites","Porites porites"
"Porites pukoensis","Porites pukoensis"
"Porites rus","Porites rus"
"Porites sillimaniana","Porites sillimaniani"
"Porites solida","Porites solida"
"Porites stephensoni","Porites stephensoni"
"Porites sverdrupi","Porites sverdrupi"
"Porites vaughani","Porites vaughani"
"Psammocora contigua","Psammocora contigua"
"Psammocora digitata","Psammocora digitata"
"Psammocora obtusangula","Psammocora contigua"
"Psammocora stellata","Psammocora stellata"
"Psammocora superficialis","Psammocora profundacella"
"Pseudosiderastrea tayami","Pseudosiderastrea tayamai"
"Sandalolitha robusta","Sandalolitha robusta"
"Scapophyllia cylindrica","Scapophyllia cylindrica"
"Scolymia cubensis","Scolymia cubensis"
"Scolymia lacera","Scolymia lacera"
"Seriatopora caliendrum","Seriatopora caliendrum"
"Seriatopora hystrix","Seriatopora hystrix"
"Siderastrea radians","Siderastrea radians"
"Siderastrea savignyana","Siderastrea savignyana"
"Siderastrea siderea","Siderastrea siderea"
"Siderastrea stellata","Siderastrea stellata"
"Solenastrea bournoni","Solenastrea bournoni"
"Stephanocoenia intersepta","Stephanocoenia intersepta"
"Stylophora pistillata","Stylophora pistillata"
"Stylophora subseriata","Stylophora subseriata"
"Symphyllia agaricia","Lobophyllia agaricia"
"Symphyllia radians","Lobophyllia radians"
"Symphyllia recta","Symphyllia recta"
"Turbinaria bifrons","Turbinaria bifrons"
"Turbinaria mesenterina","Turbinaria mesenterina"
"Turbinaria peltata","Turbinaria peltata"
"Turbinaria reniformis","Turbinaria reniformis"
"Duncanopsammia peltata","Duncanopsammia peltata"
"Homophyllia hillae","Homophyllia bowerbanki"
"Hydnophyllia wilsoni"," Australophyllia wilsoni"
"Symphyllia wilsoni"," Australophyllia wilsoni"
"Meandrina braziliensis","Meandrina brasiliensis"
"Mussismilia leptophylla","Favia leptophylla"
"Madracis mirabilis","Madracis mirabilis"
"Balanophyllia europaea","Balanophyllia europaea"
"Acanthastrea brevis","Acanthastrea brevis"
"Acanthastrea hemprichi","Acanthastrea hemprichi"
"Acanthastrea ishigakiensis","Lobophyllia ishigakiensis"
"Acanthastrea regularis","Micromussa regularis"
"Acanthastrea rotundoflora","Acanthastrea rotundoflora"
"Acanthastrea subechinata","Acanthastrea subechinata"
"Acropora abrolhosensis","Acropora abrolhosensis"
"Acropora akajimensis","Acropora donei"
"Acropora appressa","Acropora appressa"
"Acropora awi","Acropora awi"
"Acropora azurea","Acropora nana"
"Acropora batunai","Acropora batunai"
"Acropora bifurcata","Acropora bifurcata"
"Acropora branchi","Acropora branchi"
"Acropora bushyensis","Acropora bushyensis"
"Acropora cardenae","Acropora cardenae"
"Acropora caroliniana","Acropora caroliniana"
"Acropora chesterfieldensis","Acropora chesterfieldensis"
"Acropora convexa","Acropora millepora"
"Acropora cophodactyla","Acropora cophodactyla"
"Acropora copiosa","Acropora muricata"
"Acropora cylindrica","Isopora togianensis"
"Acropora dendrum","Acropora dendrum"
"Acropora derawanensis","Acropora derawanensis"
"Acropora desalwii","Acropora desalwii"
"Acropora donei","Acropora donei"
"Acropora downingi","Acropora downingi"
"Acropora efflorescens","Acropora cytherea"
"Acropora elegans","Acropora elegans"
"Acropora elegantula","Acropora elegantula"
"Acropora exquisita","Acropora exquisita"
"Acropora fastigata","Acropora fastigata"
"Acropora fenneri","Acropora fenneri"
"Acropora filiformis","Acropora filiformis"
"Acropora forskali","Acropora forskali"
"Acropora globiceps","Acropora globiceps"
"Acropora gomezi","Acropora gomezi"
"Acropora granulosa","Acropora granulosa"
"Acropora haimei","Acropora haimei"
"Acropora halmaherae","Acropora halmaherae"
"Acropora hemprichii","Acropora hemprichii"
"Acropora hoeksemai","Acropora hoeksemai"
"Acropora indonesia","Acropora indonesia"
"Acropora inermis","Acropora microphthalma"
"Acropora irregularis","Acropora abrotanoides"
"Acropora jacquelineae","Acropora jacquelineae"
"Acropora japonica","Acropora japonica"
"Acropora kimbeensis","Acropora kimbeensis"
"Acropora kirstyae","Acropora kirstyae"
"Acropora kosurini","Acropora kosurini"
"Acropora lamarcki","Acropora lamarcki"
"Acropora lianae","Acropora lianae"
"Acropora lokani","Acropora lokani"
"Acropora loveli","Acropora loveli"
"Acropora macrostoma","Acropora tenuis"
"Acropora maryae","Acropora maryae"
"Acropora massawensis","Acropora polystoma"
"Acropora meridiana","Isopora brueggemanni"
"Acropora minuta","Acropora minuta"
"Acropora mirabilis","Acropora mirabilis"
"Acropora mossambica","Acropora mossambica"
"Acropora multiacuta","Acropora multiacuta"
"Acropora nana","Acropora nana"
"Acropora natalensis","Acropora natalensis"
"Acropora navini","Acropora navini"
"Acropora ocellata","Acropora humilis"
"Acropora orbicularis","Acropora clathrata"
"Acropora palmerae","Acropora palmerae"
"Acropora paniculata","Acropora paniculata"
"Acropora papillare","Acropora papillare"
"Acropora parahemprichii","Acropora parahemprichii"
"Acropora parapharaonis","Acropora parapharaonis"
"Acropora parilis","Acropora horrida"
"Acropora pectinatus","Acropora pectinata"
"Acropora pichoni","Acropora pichoni"
"Acropora pinguis","Acropora robusta"
"Acropora plana","Acropora tenuis"
"Acropora plantaginea","Acropora plantaginea"
"Acropora plumosa","Acropora plumosa"
"Acropora polystoma","Acropora polystoma"
"Acropora prolifera","Acropora prolifera"
"Acropora prostrata","Acropora millepora"
"Acropora proximalis","Acropora proximalis"
"Acropora pruinosa","Acropora pruinosa"
"Acropora rambleri","Acropora speciosa"
"Acropora retusa","Acropora retusa"
"Acropora rongelapensis","Acropora rongelapensis"
"Acropora rosaria","Acropora loripes"
"Acropora roseni","Acropora roseni"
"Acropora rudis","Acropora rudis"
"Acropora rufus","Acropora rufa"
"Acropora russelli","Acropora russelli"
"Acropora scherzeriana","Acropora gemmifera"
"Acropora schmitti","Acropora digitifera"
"Acropora sekiseiensis","Acropora horrida"
"Acropora simplex","Acropora simplex"
"Acropora speciosa","Acropora speciosa"
"Acropora spicifera","Acropora spicifera"
"Acropora squarrosa","Acropora squarrosa"
"Acropora stoddarti","Acropora divaricata"
"Acropora striata","Acropora striata"
"Acropora suharsonoi","Acropora suharsonoi"
"Acropora sukarnoi","Acropora sukarnoi"
"Acropora tanegashimensis","Acropora tanegashimensis"
"Acropora tenella","Acropora tenella"
"Acropora teres","Acropora teres"
"Acropora tizardi","Acropora cerealis"
"Acropora torihalimeda","Acropora torihalimeda"
"Acropora torresiana","Acropora torresiana"
"Acropora tortuosa","Acropora tortuosa"
"Acropora tumida","Acropora valida"
"Acropora turaki","Acropora turaki"
"Acropora tutuilensis","Acropora abrotanoides"
"Acropora variabilis","Acropora valida"
"Acropora vaughani","Acropora vaughani"
"Acropora vermiculata","Acropora sarmentosa"
"Acropora verweyi","Acropora verweyi"
"Acropora walindii","Acropora walindii"
"Alveopora allingi","Alveopora allingi"
"Alveopora catalai","Alveopora catalai"
"Alveopora excelsa","Alveopora excelsa"
"Alveopora fenestrata","Alveopora fenestrata"
"Alveopora gigas","Alveopora gigas"
"Alveopora japonica","Alveopora japonica"
"Alveopora marionensis","Alveopora marionensis"
"Alveopora minuta","Alveopora minuta"
"Alveopora ocellata","Alveopora ocellata"
"Alveopora spongiosa","Alveopora spongiosa"
"Alveopora tizardi","Alveopora tizardi"
"Alveopora verrilliana","Alveopora verrilliana"
"Alveopora viridis","Alveopora viridis"
"Anacropora forbesi","Anacropora forbesi"
"Anacropora matthai","Anacropora matthai"
"Anacropora pillai","Anacropora pillai"
"Anacropora puertogalerae","Anacropora puertogalerae"
"Anacropora reticulata","Anacropora reticulata"
"Anacropora spinosa","Anacropora spinosa"
"Anacropora spumosa","Anacropora spumosa"
"Anomastraea irregularis","Anomastraea irregularis"
"Astrangia poculata","Astrangia poculata"
"Astrea annuligera","Astrea annuligera"
"Astrea devantieri","Astrea devantieri"
"Astreopora cucullata","Astreopora cucullata"
"Astreopora expansa","Astreopora expansa"
"Astreopora gracilis","Astreopora gracilis"
"Astreopora incrustans","Astreopora incrustans"
"Astreopora listeri","Astreopora listeri"
"Astreopora macrostoma","Astreopora macrostoma"
"Astreopora moretonensis","Astreopora moretonensis"
"Astreopora ocellata","Astreopora ocellata"
"Astreopora randalli","Astreopora randalli"
"Astreopora scabra","Astreopora scabra"
"Astreopora suggesta","Astreopora suggesta"
"Bernardpora stutchburyi","Bernardpora stutchburyi"
"Blastomussa loyae","Blastomussa loyae"
"Blastomussa omanensis","Blastomussa omanensis"
"Blastomussa wellsi","Blastomussa wellsi"
"Boninastrea boninensis","Boninastrea boninensis"
"Cantharellus doederleini","Cantharellus doederleini"
"Cantharellus jebbi","Cantharellus jebbi"
"Cantharellus noumeae","Cantharellus noumeae"
"Caulastraea connata","Caulastraea connata"
"Caulastraea curvata","Caulastraea curvata"
"Caulastraea echinulata","Caulastraea echinulata"
"Caulastraea tumida","Caulastraea tumida"
"Cladocora caespitosa","Cladocora caespitosa"
"Coelastrea palauensis","Coelastrea palauensis"
"Coscinaraea crassa","Coscinaraea crassa"
"Coscinaraea hahazimaensis","Coscinaraea hahazimaensis"
"Coscinaraea marshae","Coscinaraea marshae"
"Coscinaraea mcneilli","Coscinaraea mcneilli"
"Ctenactis albitentaculata","Ctenactis albitentaculata"
"Ctenactis crassa","Ctenactis crassa"
"Ctenella chagius","Ctenella chagius"
"Cycloseris boschmai","Cycloseris boschmai"
"Cycloseris costulata","Cycloseris costulata"
"Cycloseris cyclolites","Cycloseris cyclolites"
"Cycloseris explanulata","Cycloseris explanulata"
"Cycloseris fragilis","Cycloseris fragilis"
"Cycloseris hexagonalis","Cycloseris hexagonalis"
"Cycloseris mokai","Cycloseris mokai"
"Cycloseris sinensis","Cycloseris sinensis"
"Cycloseris somervillei","Cycloseris somervillei"
"Cycloseris tenuis","Cycloseris tenuis"
"Cycloseris vaughani","Cycloseris vaughani"
"Cycloseris wellsi","Cycloseris wellsi"
"Cynarina lacrymalis","Cynarina lacrymalis"
"Cyphastrea agassizi","Cyphastrea agassizi"
"Cyphastrea hexasepta","Cyphastrea hexasepta"
"Cyphastrea japonica","Cyphastrea japonica"
"Danafungia scruposa","Danafungia scruposa"
"Dichocoenia stokesi","Dichocoenia stokesii"
"Dipsastraea albida","Dipsastraea albida"
"Dipsastraea amicorum","Dipsastraea amicorum"
"Dipsastraea faviaformis","Dipsastraea faviaformis"
"Dipsastraea helianthoides","Dipsastraea helianthoides"
"Dipsastraea lacuna","Dipsastraea lacuna"
"Dipsastraea laddi","Dipsastraea laddi"
"Dipsastraea marshae","Dipsastraea marshae"
"Dipsastraea rosaria","Dipsastraea rosaria"
"Dipsastraea truncata","Dipsastraea truncata"
"Dipsastraea veroni","Dipsastraea veroni"
"Dipsastraea vietnamensis","Dipsastraea vietnamensis"
"Duncanopsammia axifuga","Duncanopsammia axifuga"
"Echinomorpha nishihirai","Echinomorpha nishihirai"
"Echinophyllia costata","Echinophyllia costata"
"Echinophyllia echinata","Echinophyllia echinata"
"Echinophyllia echinoporoides","Echinophyllia echinoporoides"
"Echinophyllia patula","Echinophyllia patula"
"Echinophyllia pectinata","Echinophyllia pectinata"
"Echinopora ashmorensis","Echinopora ashmorensis"
"Echinopora fruticulosa","Echinopora fruticulosa"
"Echinopora hirsutissima","Echinopora hirsutissima"
"Echinopora irregularis","Echinopora irregularis"
"Echinopora robusta","Echinopora robusta"
"Echinopora tiranensis","Echinopora tiranensis"
"Erythrastrea flabellata","Erythrastrea flabellata"
"Euphyllia ancora","Euphyllia ancora"
"Euphyllia cristata","Euphyllia cristata"
"Euphyllia divisa","Euphyllia divisa"
"Euphyllia paraancora","Euphyllia paraancora"
"Euphyllia paradivisa","Euphyllia paradivisa"
"Euphyllia paraglabrescens","Euphyllia paraglabrescens"
"Euphyllia yaeyamaensis","Euphyllia yaeyamaensis"
"Favites acuticollis","Favites acuticollis"
"Favites colemani","Favites colemani"
"Favites micropentagonus","Favites micropentagonus"
"Favites paraflexuosus","Favites paraflexuosus"
"Favites spinosa","Favites spinosa"
"Favites stylifera","Favites stylifera"
"Favites vasta","Favites vasta"
"Galaxea cryptoramosa","Galaxea cryptoramosa"
"Galaxea longisepta","Galaxea longisepta"
"Galaxea paucisepta","Galaxea paucisepta"
"Goniastrea columella","Goniastrea columella"
"Goniastrea minuta","Goniastrea minuta"
"Goniastrea ramosa","Goniastrea ramosa"
"Goniastrea thecata","Goniastrea thecata"
"Goniopora albiconus","Goniopora albiconus"
"Goniopora burgosi","Goniopora burgosi"
"Goniopora cellulosa","Goniopora cellulosa"
"Goniopora ciliatus","Goniopora ciliatus"
"Goniopora eclipsensis","Goniopora eclipsensis"
"Goniopora fruticosa","Goniopora fruticosa"
"Goniopora minor","Goniopora pedunculata"
"Goniopora norfolkensis","Goniopora norfolkensis"
"Goniopora paliformis","Goniopora paliformis"
"Goniopora palmensis","Goniopora palmensis"
"Goniopora pandoraensis","Goniopora pandoraensis"
"Goniopora pearsoni","Goniopora pearsoni"
"Goniopora pendulus","Goniopora pendulus"
"Goniopora planulata","Goniopora planulata"
"Goniopora savignyi","Goniopora savignyi"
"Goniopora somaliensis","Goniopora somaliensis"
"Goniopora sultani","Goniopora sultani"
"Goniopora tenella","Goniopora tenella"
"Gyrosmilia interrupta","Gyrosmilia interrupta"
"Halomitra clavator","Halomitra clavator"
"Halomitra pileus","Halomitra pileus"
"Heterocyathus aequicostatus","Heterocyathus aequicostatus"
"Heteropsammia cochlea","Heteropsammia cochlea"
"Homophyllia australis","Homophyllia australis"
"Homophyllia bowerbanki","Homophyllia bowerbanki"
"Horastrea indica","Horastrea indica"
"Hydnophora bonsai","Hydnophora bonsai"
"Hydnophora pilosa","Hydnophora pilosa"
"Indophyllia macassarensis","Cynarina macassarensis"
"Isopora crateriformis","Isopora crateriformis"
"Isopora elizabethensis","Isopora elizabethensis"
"Isopora togianensis","Isopora togianensis"
"Leptastrea aequalis","Leptastrea aequalis"
"Leptastrea bewickensis","Leptastrea bewickensis"
"Leptastrea bottae","Leptastrea bottae"
"Leptastrea inaequalis","Leptastrea inaequalis"
"Leptoseris amitoriensis","Leptoseris amitoriensis"
"Leptoseris cailleti","Leptoseris cailleti"
"Leptoseris explanata","Leptoseris explanata"
"Leptoseris foliosa","Leptoseris foliosa"
"Leptoseris hawaiiensis","Leptoseris hawaiiensis"
"Leptoseris incrustans","Leptoseris incrustans"
"Leptoseris mycetoseroides","Leptoseris mycetoseroides"
"Leptoseris scabra","Leptoseris scabra"
"Leptoseris solida","Leptoseris solida"
"Leptoseris striata","Leptoseris striata"
"Leptoseris tubulifera","Leptoseris tubulifera"
"Lithophyllon repanda","Lithophyllon repanda"
