"Genus","Species"
"Platygyra","contorta"
"Platygyra","crosslandi"
"Plerogyra","discus"
"Plerogyra","simplex"
"Pleuractis","granulosa"
"Pleuractis","moluccensis"
"Pleuractis","seychellensis"
"Pleuractis","taiwanensis"
"Pocillopora","ankeli"
"Pocillopora","effusa"
"Pocillopora","fungiformis"
"Pocillopora","indiania"
"Pocillopora","kelleheri"
"Pocillopora","ligulata"
"Pocillopora","molokensis"
"Pocillopora","woodjonesi"
"Pocillopora","zelli"
"Podabacia","lankaensis"
"Podabacia","motuporensis"
"Podabacia","sinai"
"Polyphyllia","novaehiberniae"
"Polyphyllia","talpina"
"Porites","arnaudi"
"Porites","bernardi"
"Porites","brighami"
"Porites","cocosensis"
"Porites","columnaris"
"Porites","deformis"
"Porites","densa"
"Porites","desilveri"
"Porites","echinulata"
"Porites","eridani"
"Porites","flavus"
"Porites","latistella"
"Porites","murrayensis"
"Porites","myrmidonensis"
"Porites","napopora"
"Porites","negrosensis"
"Porites","nodifera"
"Porites","okinawensis"
"Porites","ornata"
"Porites","profundus"
"Porites","rugosa"
"Porites","sillimaniani"
"Porites","somaliensis"
"Porites","tuberculosa"
"Psammocora","haimiana"
"Psammocora","profundacella"
"Psammocora","verrilli"
"Pseudodiploria","clivosa"
"Pseudodiploria","strigosa"
"Pseudosiderastrea","tayamai"
"Sandalolitha","dentata"
"Schizoculina","africana"
"Schizoculina","fissipara"
"Sclerophyllia","maxima"
"Seriatopora","aculeata"
"Seriatopora","dentritica"
"Seriatopora","guttata"
"Seriatopora","stellata"
"Siderastrea","glynni"
"Simplastrea","vesicularis"
"Solenastrea","hyades"
"Stylaraea","punctata"
"Stylocoeniella","armata"
"Stylocoeniella","cocosensis"
"Stylocoeniella","guentheri"
"Stylophora","danae"
"Stylophora","kuehlmanni"
"Stylophora","madagascarensis"
"Stylophora","mamillata"
"Stylophora","wellsi"
"Symphyllia","erythraea"
"Symphyllia","hassi"
"Symphyllia","valenciennesii"
"Trachyphyllia","geoffroyi"
"Turbinaria","conspicua"
"Turbinaria","frondens"
"Turbinaria","heronensis"
"Turbinaria","irregularis"
"Turbinaria","patula"
"Turbinaria","radicalis"
"Turbinaria","stellulata"
"Zoopilus","echinatus"
