"species","growthForm","growthFormClasses"
"Dipsastraea truncata","massive","massive"
"Dipsastraea veroni","massive","massive"
"Dipsastraea vietnamensis","massive","massive"
"Dipsastraea wisseli","submassive","massive"
"Duncanopsammia axifuga","branching_closed","branching"
"Echinomorpha nishihirai","encrusting","encrusting"
"Echinophyllia aspera","laminar","laminar"
"Echinophyllia costata","laminar","laminar"
"Echinophyllia echinata","laminar","laminar"
"Echinophyllia echinoporoides","encrusting","encrusting"
"Echinophyllia orpheensis","submassive","massive"
"Echinophyllia patula","laminar","laminar"
"Echinophyllia pectinata","encrusting","encrusting"
"Echinophyllia tarae","laminar","laminar"
"Echinopora ashmorensis","encrusting_long_uprights","encrusting_long_uprights"
"Echinopora forskaliana","massive","massive"
"Echinopora fruticulosa","branching_closed","branching"
"Echinopora gemmacea","laminar","laminar"
"Echinopora grandicula","encrusting","encrusting"
"Echinopora hirsutissima","submassive","massive"
"Echinopora horrida","encrusting_long_uprights","encrusting_long_uprights"
"Echinopora irregularis","digitate","digitate"
"Echinopora lamellosa","laminar","laminar"
"Echinopora mammiformis","encrusting_long_uprights","encrusting_long_uprights"
"Echinopora pacificus","laminar","laminar"
"Echinopora robusta","massive","massive"
"Echinopora taylorae","laminar","laminar"
"Echinopora tiranensis","digitate","digitate"
"Enigmopora darveliensis","branching_open","branching"
"Erythrastrea flabellata","massive","massive"
"Euphyllia ancora","massive","massive"
"Euphyllia cristata","massive","massive"
"Euphyllia divisa","massive","massive"
"Euphyllia glabrescens","massive","massive"
"Euphyllia paraancora","massive","massive"
"Euphyllia paradivisa","massive","massive"
"Euphyllia paraglabrescens","massive","massive"
"Euphyllia yaeyamaensis","massive","massive"
"Eusmilia fastigiata","massive","massive"
"Favia fragum","massive","massive"
"Favia gravida","massive","massive"
"Favia leptophylla","massive","massive"
"Favites abdita","massive","massive"
"Favites acuticollis","massive","massive"
"Favites chinensis","massive","massive"
"Favites colemani","encrusting","encrusting"
"Favites complanata","massive","massive"
"Favites flexuosa","massive","massive"
"Favites halicora","massive","massive"
"Favites magnistellata","massive","massive"
"Favites melicerum","submassive","massive"
"Favites micropentagonus","submassive","massive"
"Favites paraflexuosus","massive","massive"
"Favites pentagona","submassive","massive"
"Favites rotundata","massive","massive"
"Favites spinosa","massive","massive"
"Favites stylifera","submassive","massive"
"Favites valenciennesi","submassive","massive"
"Favites vasta","massive","massive"
"Fungia fungites","massive","massive"
"Galaxea acrhelia","branching_closed","branching"
"Galaxea astreata","submassive","massive"
"Galaxea cryptoramosa","branching_closed","branching"
"Galaxea fascicularis","massive","massive"
"Galaxea horrescens","branching_closed","branching"
"Galaxea longisepta","encrusting","encrusting"
"Galaxea paucisepta","encrusting","encrusting"
"Gardineroseris planulata","massive","massive"
"Goniastrea columella","submassive","massive"
"Goniastrea edwardsi","massive","massive"
"Goniastrea favulus","massive","massive"
"Goniastrea minuta","submassive","massive"
"Goniastrea pectinata","submassive","massive"
"Goniastrea ramosa","encrusting_long_uprights","encrusting_long_uprights"
"Goniastrea retiformis","massive","massive"
"Goniastrea stelligera","massive","massive"
"Goniastrea thecata","massive","massive"
"Goniopora albiconus","encrusting","encrusting"
"Goniopora burgosi","submassive","massive"
"Goniopora cellulosa","massive","massive"
"Goniopora ciliatus","columnar","columnar"
"Goniopora columna","columnar","columnar"
"Goniopora diminuta","massive","massive"
"Goniopora djiboutiensis","columnar","columnar"
"Goniopora eclipsensis","columnar","columnar"
"Goniopora fruticosa","encrusting","encrusting"
"Goniopora lobata","columnar","columnar"
"Goniopora norfolkensis","encrusting","encrusting"
"Goniopora paliformis","massive","massive"
"Goniopora palmensis","submassive","massive"
"Goniopora pandoraensis","columnar","columnar"
"Goniopora pearsoni","massive","massive"
"Goniopora pedunculata","encrusting","encrusting"
"Goniopora pendulus","massive","massive"
"Goniopora planulata","columnar","columnar"
"Goniopora polyformis","digitate","digitate"
"Goniopora savignyi","columnar","columnar"
"Goniopora somaliensis","encrusting","encrusting"
"Goniopora stokesi","columnar","columnar"
"Goniopora sultani","columnar","columnar"
"Goniopora tantillus","encrusting","encrusting"
"Goniopora tenella","encrusting","encrusting"
"Goniopora tenuidens","massive","massive"
"Gyrosmilia interrupta","submassive","massive"
"Halomitra clavator","massive","massive"
"Halomitra pileus","massive","massive"
"Heliofungia actiniformis","massive","massive"
"Heliofungia fralinae","massive","massive"
"Helioseris cucullata","laminar","laminar"
"Herpolitha limax","massive","massive"
"Heterocyathus aequicostatus","massive","massive"
"Heteropsammia cochlea","massive","massive"
"Homophyllia australis","massive","massive"
"Homophyllia bowerbanki","massive","massive"
"Horastrea indica","massive","massive"
"Hydnophora bonsai","digitate","digitate"
"Hydnophora exesa","submassive","massive"
"Hydnophora grandis","encrusting_long_uprights","encrusting_long_uprights"
"Hydnophora microconos","massive","massive"
"Hydnophora pilosa","columnar","columnar"
"Hydnophora rigida","branching_closed","branching"
"Isophyllia rigida","massive","massive"
"Isophyllia sinuosa","massive","massive"
"Isopora brueggemanni","branching_open","branching"
"Isopora crateriformis","encrusting","encrusting"
"Isopora cuneata","encrusting","encrusting"
"Isopora elizabethensis","branching_open","branching"
"Isopora palifera","branching_open","branching"
"Isopora togianensis","branching_open","branching"
"Leptastrea aequalis","encrusting","encrusting"
"Leptastrea bewickensis","encrusting","encrusting"
"Leptastrea bottae","encrusting","encrusting"
"Leptastrea inaequalis","massive","massive"
"Leptastrea pruinosa","encrusting","encrusting"
"Leptastrea purpurea","encrusting","encrusting"
"Leptastrea transversa","encrusting","encrusting"
"Leptoria irregularis","encrusting","encrusting"
"Leptoria phrygia","massive","massive"
"Leptoseris amitoriensis","laminar","laminar"
"Leptoseris cailleti","laminar","laminar"
"Leptoseris explanata","laminar","laminar"
"Leptoseris foliosa","laminar","laminar"
"Leptoseris fragilis","laminar","laminar"
"Leptoseris gardineri","laminar","laminar"
"Leptoseris glabra","laminar","laminar"
"Leptoseris hawaiiensis","encrusting","encrusting"
"Leptoseris incrustans","encrusting","encrusting"
"Leptoseris mycetoseroides","laminar","laminar"
"Leptoseris papyracea","laminar","laminar"
"Leptoseris scabra","encrusting","encrusting"
"Leptoseris solida","encrusting","encrusting"
"Leptoseris striata","encrusting","encrusting"
"Leptoseris tubulifera","encrusting","encrusting"
"Leptoseris yabei","laminar","laminar"
"Lithophyllon concinna","massive","massive"
"Lithophyllon ranjithi","laminar","laminar"
"Lithophyllon repanda","massive","massive"
"Lithophyllon scabra","massive","massive"
"Lithophyllon spinifer","massive","massive"
"Lithophyllon undulatum","encrusting","encrusting"
"Lobactis scutaria","massive","massive"
"Lobophyllia agaricia","massive","massive"
"Lobophyllia corymbosa","massive","massive"
"Lobophyllia dentata","massive","massive"
"Lobophyllia diminuta","massive","massive"
"Lobophyllia erythraea","massive","massive"
"Lobophyllia flabelliformis","massive","massive"
"Lobophyllia hassi","massive","massive"
"Lobophyllia hataii","massive","massive"
"Lobophyllia hemprichii","massive","massive"
"Lobophyllia ishigakiensis","massive","massive"
"Lobophyllia radians","massive","massive"
"Lobophyllia robusta","massive","massive"
"Lobophyllia rowleyensis","massive","massive"
"Lobophyllia serrata","massive","massive"
"Lobophyllia valenciennesii","encrusting","encrusting"
"Lobophyllia vitiensis","massive","massive"
"Madracis asanoi","branching_closed","branching"
"Madracis asperula","branching_closed","branching"
"Madracis auretenra","branching_closed","branching"
"Madracis carmabi","branching_closed","branching"
"Madracis decactis","digitate","digitate"
"Madracis formosa","columnar","columnar"
"Madracis kirbyi","digitate","digitate"
"Madracis mirabilis","branching_closed","branching"
"Madracis pharensis","digitate","digitate"
"Madracis senaria","encrusting","encrusting"
"Manicina areolata","massive","massive"
"Meandrina brasiliensis","massive","massive"
"Meandrina danae","massive","massive"
"Meandrina meandrites","submassive","massive"
"Merulina ampliata","laminar","laminar"
"Merulina scabricula","laminar","laminar"
"Merulina scheeri","digitate","digitate"
"Merulina triangularis","branching_closed","branching"
"Micromussa amakusensis","encrusting","encrusting"
"Micromussa lordhowensis","massive","massive"
"Micromussa multipunctata","encrusting","encrusting"
"Micromussa regularis","massive","massive"
"Montastraea cavernosa","massive","massive"
"Montigyra kenti","massive","massive"
"Montipora aequituberculata","laminar","laminar"
"Montipora altasepta","branching_open","branching"
"Montipora angulata","branching_closed","branching"
"Montipora aspergillus","branching_closed","branching"
"Montipora australiensis","columnar","columnar"
"Montipora cactus","encrusting_long_uprights","encrusting_long_uprights"
"Montipora calcarea","digitate","digitate"
"Montipora caliculata","massive","massive"
"Montipora capitata","encrusting_long_uprights","encrusting_long_uprights"
"Montipora capricornis","laminar","laminar"
"Montipora cebuensis","laminar","laminar"
"Montipora circumvallata","digitate","digitate"
"Montipora cocosensis","submassive","massive"
"Montipora confusa","encrusting_long_uprights","encrusting_long_uprights"
"Montipora corbettensis","digitate","digitate"
"Montipora crassituberculata","laminar","laminar"
"Montipora cryptus","encrusting","encrusting"
"Montipora danae","laminar","laminar"
"Montipora delicatula","laminar","laminar"
"Montipora digitata","branching_open","branching"
"Montipora dilatata","digitate","digitate"
"Montipora echinata","branching_closed","branching"
"Montipora edwardsi","columnar","columnar"
"Montipora efflorescens","massive","massive"
"Montipora effusa","submassive","massive"
"Montipora flabellata","laminar","laminar"
"Montipora florida","laminar","laminar"
"Montipora floweri","submassive","massive"
"Montipora foliosa","laminar","laminar"
"Montipora foveolata","massive","massive"
"Montipora friabilis","laminar","laminar"
"Montipora gaimardi","encrusting_long_uprights","encrusting_long_uprights"
"Montipora granulosa","encrusting","encrusting"
"Montipora grisea","massive","massive"
"Montipora hemispherica","digitate","digitate"
"Montipora hirsuta","branching_open","branching"
"Montipora hispida","encrusting_long_uprights","encrusting_long_uprights"
"Montipora hodgsoni","laminar","laminar"
"Montipora hoffmeisteri","encrusting","encrusting"
"Montipora incrassata","encrusting","encrusting"
"Montipora informis","massive","massive"
"Montipora kellyi","branching_closed","branching"
"Montipora lobulata","submassive","massive"
"Montipora mactanensis","digitate","digitate"
"Montipora malampaya","digitate","digitate"
"Montipora meandrina","encrusting","encrusting"
"Montipora millepora","encrusting","encrusting"
"Montipora mollis","massive","massive"
"Montipora monasteriata","laminar","laminar"
"Montipora niugini","digitate","digitate"
"Montipora nodosa","massive","massive"
"Montipora orientalis","columnar","columnar"
"Montipora pachytuberculata","branching_closed","branching"
"Montipora palawanensis","laminar","laminar"
"Montipora patula","laminar","laminar"
"Montipora peltiformis","submassive","massive"
"Montipora porites","encrusting_long_uprights","encrusting_long_uprights"
"Montipora samarensis","branching_open","branching"
"Montipora saudii","encrusting_long_uprights","encrusting_long_uprights"
"Montipora setosa","digitate","digitate"
"Montipora spongiosa","branching_closed","branching"
"Montipora spongodes","encrusting","encrusting"
"Montipora spumosa","encrusting","encrusting"
"Montipora stellata","digitate","digitate"
"Montipora stilosa","submassive","massive"
"Montipora taiwanensis","submassive","massive"
"Montipora tortuosa","branching_closed","branching"
"Montipora tuberculosa","massive","massive"
"Montipora turgescens","massive","massive"
"Montipora turtlensis","digitate","digitate"
"Montipora undata","laminar","laminar"
"Montipora venosa","massive","massive"
"Montipora verrilli","encrusting","encrusting"
"Montipora verrucosa","laminar","laminar"
"Montipora verruculosa","encrusting","encrusting"
"Montipora vietnamensis","digitate","digitate"
"Moseleya latistellata","submassive","massive"
"Mussa angulosa","massive","massive"
"Mussismilia braziliensis","massive","massive"
"Mussismilia harttii","massive","massive"
"Mussismilia hispida","massive","massive"
