"species","coloniality"
"Porites echinulata","colonial"
"Porites lichen","colonial"
"Porites evermanni","colonial"
"Porites flavus","colonial"
"Porites furcata","colonial"
"Porites harrisoni","colonial"
"Porites heronensis","colonial"
"Porites horizontalata","colonial"
"Porites latistellata","colonial"
"Porites lobata","colonial"
"Porites lutea","colonial"
"Porites mayeri","colonial"
"Porites monticulosa","colonial"
"Porites murrayensis","colonial"
"Porites myrmidonensis","colonial"
"Porites napopora","colonial"
"Porites negrosensis","colonial"
"Porites nigrescens","colonial"
"Porites nodifera","colonial"
"Porites okinawensis","colonial"
"Porites ornata","colonial"
"Porites panamensis","colonial"
"Porites porites","colonial"
"Porites profundus","colonial"
"Porites pukoensis","colonial"
"Porites rugosus","colonial"
"Porites rus","colonial"
"Porites sillimaniani","colonial"
"Porites solida","colonial"
"Porites somaliensis","colonial"
"Porites stephensoni","colonial"
"Porites tuberculosus","colonial"
"Porites vaughani","colonial"
"Psammocora contigua","colonial"
"Psammocora digitata","colonial"
"Psammocora haimiana","colonial"
"Psammocora profundacella","colonial"
"Psammocora stellata","colonial"
"Psammocora nierstraszi","colonial"
"Pseudodiploria clivosa","colonial"
"Pseudodiploria strigosa","colonial"
"Pseudosiderastrea tayamai","colonial"
"Sandalolitha dentata","colonial"
"Sandalolitha robusta","colonial"
"Scapophyllia cylindrica","colonial"
"Schizoculina africana","colonial"
"Schizoculina fissipara","colonial"
"Sclerophyllia maxima","colonial"
"Scolymia cubensis","solitary"
"Seriatopora aculeata","colonial"
"Seriatopora caliendrum","colonial"
"Seriatopora dentritica","colonial"
"Seriatopora guttata","colonial"
"Seriatopora hystrix","colonial"
"Seriatopora stellata","colonial"
"Siderastrea siderea","colonial"
"Siderastrea radians","colonial"
"Siderastrea savignyana","colonial"
"Siderastrea stellata","colonial"
"Simplastrea vesicularis","colonial"
"Solenastrea bournoni","colonial"
"Solenastrea hyades","colonial"
"Stephanocoenia intersepta","colonial"
"Stylaraea punctata","colonial"
"Stylocoeniella armata","colonial"
"Stylocoeniella cocosensis","colonial"
"Stylocoeniella guentheri","colonial"
"Stylophora danae","colonial"
"Stylophora kuehlmanni","colonial"
"Stylophora madagascarensis","colonial"
"Stylophora mamillata","colonial"
"Stylophora pistillata","colonial"
"Stylophora subseriata","colonial"
"Stylophora wellsi","colonial"
"Lobophyllia agaricia","colonial"
"Lobophyllia erythraea","colonial"
"Lobophyllia hassi","colonial"
"Lobophyllia radians","colonial"
"Symphyllia recta","colonial"
"Lobophyllia valenciennesii","colonial"
"Trachyphyllia geoffroyi","colonial"
"Turbinaria bifrons","colonial"
"Turbinaria conspicua","colonial"
"Turbinaria frondens","colonial"
"Turbinaria heronensis","colonial"
"Turbinaria irregularis","colonial"
"Turbinaria mesenterina","colonial"
"Turbinaria patula","colonial"
"Turbinaria radicalis","colonial"
"Turbinaria reniformis","colonial"
"Turbinaria stellulata","colonial"
"Zoopilus echinatus","colonial"
