"species","bleaching_probability"
"Galaxea astreata",0.313548840464182
"Galaxea cryptoramosa",0.219404234515189
"Galaxea fascicularis",0.435227518815679
"Galaxea horrescens",0.339074409686457
"Galaxea longisepta",0.171576113155683
"Galaxea paucisepta",0.316970715210124
"Gardineroseris planulata",0.296734132910876
"Goniastrea columella",0.244677679599571
"Goniastrea edwardsi",0.267456704831923
"Goniastrea favulus",0.267103530398822
"Goniastrea minuta",0.281822394855335
"Goniastrea pectinata",0.308458461715026
"Goniastrea ramosa",0.20767107601736
"Goniastrea retiformis",0.232806173564045
"Goniastrea stelligera",0.267150921411998
"Goniastrea thecata",0.280171087820875
"Goniopora albiconus",0.253846825816571
"Goniopora burgosi",0.315633146089629
"Goniopora cellulosa",0.332879721570846
"Goniopora ciliatus",0.371455297320078
"Goniopora columna",0.318677775608066
"Goniopora diminuta",0.194773387198742
"Goniopora djiboutiensis",0.31785697626435
"Goniopora eclipsensis",0.303755207405496
"Goniopora fruticosa",0.315225259690956
"Goniopora lobata",0.312725538357906
"Goniopora norfolkensis",0.303955955331345
"Goniopora paliformis",0.277684093938204
"Goniopora palmensis",0.278742074687363
"Goniopora pandoraensis",0.306302691080444
"Goniopora pearsoni",0.296370031651609
"Goniopora pedunculata",0.296421796694618
"Goniopora pendulus",0.321151698623586
"Goniopora planulata",0.303562822768402
"Goniopora polyformis",0.342129414981003
"Goniopora savignyi",0.30318560487245
"Goniopora somaliensis",0.307451175671817
"Goniopora stokesi",0.143338664674534
"Goniopora sultani",0.338308662325035
"Goniopora tantillus",0.275788535444443
"Goniopora tenella",0.316054191938494
"Goniopora tenuidens",0.315738172201246
"Gyrosmilia interrupta",0.236991292244512
"Halomitra clavator",0.244698702766069
"Halomitra pileus",0.255095568895502
"Heliofungia actiniformis",0.124681053812975
"Heliofungia fralinae",0.132539036212193
"Helioseris cucullata",0.24141937124131
"Herpolitha limax",0.119391849637669
"Heterocyathus aequicostatus",0.276212417258276
"Heterocyathus alternatus",0.291903849389282
"Heterocyathus sulcatus",0.291903849389282
"Heteropsammia cochlea",0.29428286353557
"Heteropsammia eupsammides",0.295324358878337
"Homophyllia australis",0.0729258890101798
"Homophyllia bowerbanki",0.301449511391028
"Horastrea indica",0.249481499590524
"Hydnophora bonsai",0.332766889196951
"Hydnophora exesa",0.272129859902904
"Hydnophora grandis",0.316593761825685
"Hydnophora microconos",0.271079511043712
"Hydnophora pilosa",0.32677963983397
"Hydnophora rigida",0.352656029297735
"Isophyllia rigida",0.103849260490765
"Isophyllia sinuosa",0.125020156344372
"Isopora brueggemanni",0.252862287863421
"Isopora crateriformis",0.223265068730784
"Isopora cuneata",0.159494253060752
"Isopora elizabethensis",0.25270444249517
"Isopora palifera",0.264388726606012
"Isopora togianensis",0.264555561496316
"Leptastrea aequalis",0.195446841977268
"Leptastrea bewickensis",0.259740853814781
"Leptastrea bottae",0.255786580309045
"Leptastrea inaequalis",0.255324915003449
"Leptastrea pruinosa",0.257708943958104
"Leptastrea purpurea",0.196495815289529
"Leptastrea transversa",0.265281543563475
"Leptoria irregularis",0.287689701851751
"Leptoria phrygia",0.352321218532562
"Leptoseris amitoriensis",0.455385094340974
"Leptoseris cailleti",0.459979894383041
"Leptoseris explanata",0.411126961548473
"Leptoseris foliosa",0.362053894256075
"Leptoseris gardineri",0.459953444825727
"Leptoseris hawaiiensis",0.384969144859602
"Leptoseris incrustans",0.393309674338637
"Leptoseris mycetoseroides",0.34385966165313
"Leptoseris papyracea",0.460644118658762
"Leptoseris scabra",0.318442934166616
"Leptoseris solida",0.310521341601069
"Leptoseris striata",0.168674825562721
"Leptoseris tubulifera",0.37805155221447
"Leptoseris yabei",0.302538165361193
"Lithophyllon concinna",0.10862206919192
"Lithophyllon ranjithi",0.270975177043421
"Lithophyllon repanda",0.148068738819632
"Lithophyllon scabra",0.131472788554593
"Lithophyllon spinifer",0.105679724105448
"Lithophyllon undulatum",0.232255528088668
"Lobactis scutaria",0.110820223262549
"Lobophyllia agaricia",0.312296998665791
"Lobophyllia corymbosa",0.347919150015865
"Lobophyllia dentata",0.308276805621767
"Lobophyllia diminuta",0.339669758935188
"Lobophyllia erythraea",0.318757365774956
"Lobophyllia flabelliformis",0.325173898795411
"Lobophyllia hassi",0.166790241224693
"Lobophyllia hataii",0.323947071745618
"Lobophyllia hemprichii",0.437303461597003
"Lobophyllia ishigakiensis",0.261805559630565
"Lobophyllia radians",0.336882709718154
"Lobophyllia robusta",0.344369410113665
"Lobophyllia rowleyensis",0.275551769649037
"Lobophyllia serrata",0.329126139419853
"Lobophyllia valenciennesii",0.325170898265398
"Lobophyllia vitiensis",0.134468366776578
"Madracis asanoi",0.234885971031307
"Madracis auretenra",0.227050908687696
"Madracis carmabi",0.207438655012432
"Madracis decactis",0.168831107980407
"Madracis formosa",0.166073148705889
"Madracis kirbyi",0.307324276149134
"Madracis mirabilis",0.191427410275014
"Madracis pharensis",0.224759693577132
"Madracis senaria",0.202542737560559
"Manicina areolata",0.121235478805287
"Meandrina brasiliensis",0.269515525833353
"Meandrina danae",0.243000900369197
"Meandrina meandrites",0.170983653139324
"Merulina ampliata",0.345227455303193
"Merulina scabricula",0.353855810921623
"Merulina scheeri",0.206067160055034
"Merulina triangularis",0.454566149263204
"Micromussa amakusensis",0.266814487628757
"Micromussa lordhowensis",0.300656520042496
"Micromussa multipunctata",0.190355295115562
"Micromussa regularis",0.291182462870685
"Montastraea cavernosa",0.25078885373369
"Montigyra kenti",0.218435934413079
"Montipora aequituberculata",0.26847146240904
"Montipora altasepta",0.32639639916909
"Montipora angulata",0.284439886521785
"Montipora aspergillus",0.312382457346503
"Montipora australiensis",0.262144310436343
"Montipora cactus",0.259290843535536
"Montipora calcarea",0.269925981379033
"Montipora caliculata",0.290849003325349
"Montipora capitata",0.247256796797106
"Montipora capricornis",0.341242638660118
"Montipora cebuensis",0.298658189552796
"Montipora circumvallata",0.252627949642061
"Montipora cocosensis",0.306130502223356
"Montipora confusa",0.259643379897679
"Montipora corbettensis",0.26180721288004
"Montipora crassituberculata",0.351223787600901
"Montipora cryptus",0.253809793754866
"Montipora danae",0.277594214004199
"Montipora delicatula",0.311625472878635
