"species","BRI","sd","n"
"Pseudosiderastrea tayamai",2.75,NA,1
"Sandalolitha robusta",0.26,NA,1
"Scapophyllia cylindrica",16.33,NA,1
"Scolymia cubensis",11,NA,1
"Scolymia lacera",2.75,NA,1
"Seriatopora caliendrum",65.82,NA,2
"Seriatopora hystrix",61.46,28.99,9
"Siderastrea radians",23.13,NA,2
"Siderastrea savignyana",2.75,NA,2
"Siderastrea siderea",19.05,14.44,25
"Solenastrea bournoni",0,NA,1
"Stephanocoenia intersepta",18.77,13.33,8
"Stylophora pistillata",56.42,24.52,9
"Symphyllia recta",11.57,9.12,3
"Turbinaria bifrons",71.5,NA,1
"Turbinaria mesenterina",20.87,22.43,3
"Turbinaria peltata",71.5,NA,1
