"species","zooanthellae"
"Balanophyllia elegans","azooxanthellate"
"Balanophyllia europaea","zooxanthellate"
"Balanophyllia floridana","azooxanthellate"
"Balanophyllia galapagensis","azooxanthellate"
"Balanophyllia gemma","azooxanthellate"
"Balanophyllia gemmifera","azooxanthellate"
"Balanophyllia generatrix","azooxanthellate"
"Balanophyllia gigas","azooxanthellate"
"Balanophyllia hadros","azooxanthellate"
"Balanophyllia imperialis","azooxanthellate"
"Balanophyllia iwayamaensis","azooxanthellate"
"Balanophyllia japonica","azooxanthellate"
"Balanophyllia laysanensis","azooxanthellate"
"Balanophyllia malouinensis","azooxanthellate"
"Balanophyllia merguiensis","azooxanthellate"
"Balanophyllia palifera","azooxanthellate"
"Balanophyllia parallela","azooxanthellate"
"Balanophyllia parvula","azooxanthellate"
"Balanophyllia pittieri","azooxanthellate"
"Balanophyllia profundicella","azooxanthellate"
"Balanophyllia rediviva","azooxanthellate"
"Balanophyllia regalis","azooxanthellate"
"Balanophyllia regia","azooxanthellate"
"Balanophyllia scabra","azooxanthellate"
"Balanophyllia scabrosa","azooxanthellate"
"Balanophyllia serrata","azooxanthellate"
"Balanophyllia stimpsonii","azooxanthellate"
"Balanophyllia taprobanae","azooxanthellate"
"Balanophyllia tenuis","azooxanthellate"
"Balanophyllia thalassae","azooxanthellate"
"Balanophyllia ukrainensis","azooxanthellate"
"Balanophyllia vanderhorsti","azooxanthellate"
"Balanophyllia wellsi","azooxanthellate"
"Balanophyllia yongei","azooxanthellate"
"Bathelia candida","azooxanthellate"
"Bathycyathus chilensis","azooxanthellate"
"Bathypsammia fallosocialis","azooxanthellate"
"Bathypsammia tintinnabulum","azooxanthellate"
"Bernardpora stutchburyi","zooxanthellate"
"Blastomussa loyae","zooxanthellate"
"Blastomussa merleti","zooxanthellate"
"Blastomussa omanensis","zooxanthellate"
"Blastomussa vivida","zooxanthellate"
"Blastomussa wellsi","zooxanthellate"
"Blastotrochus nutrix","azooxanthellate"
"Boninastrea boninensis","zooxanthellate"
"Bourneotrochus stellulatus","azooxanthellate"
"Cantharellus doederleini","zooxanthellate"
"Cantharellus jebbi","zooxanthellate"
"Cantharellus noumeae","zooxanthellate"
"Caryophyllia abrupta","azooxanthellate"
"Caryophyllia abyssorum","azooxanthellate"
"Caryophyllia alaskensis","azooxanthellate"
"Caryophyllia alberti","azooxanthellate"
"Caryophyllia ambrosia","azooxanthellate"
"Caryophyllia antarctica","azooxanthellate"
"Caryophyllia antillarum","azooxanthellate"
"Caryophyllia arnoldi","azooxanthellate"
"Caryophyllia atlantica","azooxanthellate"
"Caryophyllia balaenacea","azooxanthellate"
"Caryophyllia barbadensis","azooxanthellate"
"Caryophyllia berteriana","azooxanthellate"
"Caryophyllia calveri","azooxanthellate"
"Caryophyllia cincticulatus","azooxanthellate"
"Caryophyllia cornulum","azooxanthellate"
"Caryophyllia corrugata","azooxanthellate"
"Caryophyllia crosnieri","azooxanthellate"
"Caryophyllia cyathus","azooxanthellate"
"Caryophyllia decamera","azooxanthellate"
"Caryophyllia dentata","azooxanthellate"
"Caryophyllia diomedeae","azooxanthellate"
"Caryophyllia eltaninae","azooxanthellate"
"Caryophyllia ephyala","azooxanthellate"
"Caryophyllia foresti","azooxanthellate"
"Caryophyllia grandis","azooxanthellate"
"Caryophyllia grayi","azooxanthellate"
"Caryophyllia hawaiiensis","azooxanthellate"
"Caryophyllia horologium","azooxanthellate"
"Caryophyllia inornata","azooxanthellate"
"Caryophyllia japonica","azooxanthellate"
"Caryophyllia jogashimaensis","azooxanthellate"
"Caryophyllia karubarica","azooxanthellate"
"Caryophyllia lamellifera","azooxanthellate"
"Caryophyllia mabahithi","azooxanthellate"
"Caryophyllia marmorea","azooxanthellate"
"Caryophyllia octonaria","azooxanthellate"
"Caryophyllia octopali","azooxanthellate"
"Caryophyllia paradoxus","azooxanthellate"
"Caryophyllia paucipalata","azooxanthellate"
"Caryophyllia paucipaliata","azooxanthellate"
"Caryophyllia perculta","azooxanthellate"
"Caryophyllia planilamellata","azooxanthellate"
"Caryophyllia polygona","azooxanthellate"
"Caryophyllia profunda","azooxanthellate"
"Caryophyllia quadragenaria","azooxanthellate"
"Caryophyllia quangdongensis","azooxanthellate"
"Caryophyllia ralphae","azooxanthellate"
"Caryophyllia rugosa","azooxanthellate"
"Caryophyllia sarsiae","azooxanthellate"
"Caryophyllia scillaemorpha","azooxanthellate"
"Caryophyllia scobinosa","azooxanthellate"
"Caryophyllia secta","azooxanthellate"
"Caryophyllia seguenzae","azooxanthellate"
"Caryophyllia sewelli","azooxanthellate"
"Caryophyllia smithii","azooxanthellate"
"Caryophyllia solida","azooxanthellate"
"Caryophyllia spinicarens","azooxanthellate"
"Caryophyllia spinigera","azooxanthellate"
"Caryophyllia squiresi","azooxanthellate"
"Caryophyllia stellula","azooxanthellate"
"Caryophyllia transversalis","azooxanthellate"
"Caryophyllia unicristata","azooxanthellate"
"Caryophyllia valdiviae","azooxanthellate"
"Caryophyllia versicolorata","azooxanthellate"
"Caryophyllia zopyros","azooxanthellate"
"Catalaphyllia jardinei","zooxanthellate"
"Caulastraea connata","zooxanthellate"
"Caulastraea curvata","zooxanthellate"
"Caulastraea echinulata","zooxanthellate"
"Caulastraea furcata","zooxanthellate"
"Caulastraea tumida","zooxanthellate"
