"species","zooanthellae"
"Stephanocyathus laevifundus","azooxanthellate"
"Stephanocyathus moseleyanus","azooxanthellate"
"Stephanocyathus nobilis","azooxanthellate"
"Stephanocyathus paliferus","azooxanthellate"
"Stephanocyathus platypus","azooxanthellate"
"Stephanocyathus regius","azooxanthellate"
"Stephanocyathus spiniger","azooxanthellate"
"Stephanocyathus weberianus","azooxanthellate"
"Stephanophyllia complicata","azooxanthellate"
"Stephanophyllia fungulus","azooxanthellate"
"Stephanophyllia neglecta","azooxanthellate"
"Stylaraea punctata","zooxanthellate"
"Stylocoeniella armata","zooxanthellate"
"Stylocoeniella cocosensis","zooxanthellate"
"Stylocoeniella guentheri","zooxanthellate"
"Stylocoeniella muscosus","zooxanthellate"
"Stylophora danae","zooxanthellate"
"Stylophora kuehlmanni","zooxanthellate"
"Stylophora madagascarensis","zooxanthellate"
"Stylophora mamillata","zooxanthellate"
"Stylophora pistillata","zooxanthellate"
"Stylophora subseriata","zooxanthellate"
"Stylophora wellsi","zooxanthellate"
"Symphyllia recta","zooxanthellate"
"Sympodangia albatrossi","azooxanthellate"
"Temnotrochus kermadecensis","azooxanthellate"
"Tethocyathus cylindraceus","azooxanthellate"
"Tethocyathus minor","azooxanthellate"
"Tethocyathus recurvatus","azooxanthellate"
"Tethocyathus variabilis","azooxanthellate"
"Tethocyathus virgatus","azooxanthellate"
"Thalamophyllia gasti","azooxanthellate"
"Thalamophyllia gombergi","azooxanthellate"
"Thalamophyllia riisei","azooxanthellate"
"Thalamophyllia tenuescens","azooxanthellate"
"Thecopsammia elongata","azooxanthellate"
"Thecopsammia socialis","azooxanthellate"
"Thrypticotrochus petterdi","azooxanthellate"
"Trachyphyllia geoffroyi","zooxanthellate"
"Trematotrochus corbicula","azooxanthellate"
"Trematotrochus hedleyi","azooxanthellate"
"Trochocyathus aithoseptatus","azooxanthellate"
"Trochocyathus apertus","azooxanthellate"
"Trochocyathus brevispina","azooxanthellate"
"Trochocyathus burchae","azooxanthellate"
"Trochocyathus caryophylloides","azooxanthellate"
"Trochocyathus cepulla","azooxanthellate"
"Trochocyathus cooperi","azooxanthellate"
"Trochocyathus decamera","azooxanthellate"
"Trochocyathus discus","azooxanthellate"
"Trochocyathus efateensis","azooxanthellate"
"Trochocyathus fasciatus","azooxanthellate"
"Trochocyathus fossulus","azooxanthellate"
"Trochocyathus gardineri","azooxanthellate"
"Trochocyathus gordoni","azooxanthellate"
"Trochocyathus hastatus","azooxanthellate"
"Trochocyathus japonicus","azooxanthellate"
"Trochocyathus longispina","azooxanthellate"
"Trochocyathus maculatus","azooxanthellate"
"Trochocyathus mauiensis","azooxanthellate"
"Trochocyathus oahensis","azooxanthellate"
"Trochocyathus patelliformis","azooxanthellate"
"Trochocyathus philippinensis","azooxanthellate"
"Trochocyathus porphyreus","azooxanthellate"
"Trochocyathus rawsonii","azooxanthellate"
"Trochocyathus rhombocolumna","azooxanthellate"
"Trochocyathus semperi","azooxanthellate"
"Trochocyathus spinosocostatus","azooxanthellate"
"Trochocyathus vasiformis","azooxanthellate"
"Trochopsammia infundibulum","azooxanthellate"
"Tropidocyathus labidus","azooxanthellate"
"Tropidocyathus lessonii","azooxanthellate"
"Truncatoflabellum aculeatum","azooxanthellate"
"Truncatoflabellum angiostomum","azooxanthellate"
"Truncatoflabellum angustum","azooxanthellate"
"Truncatoflabellum arcuatum","azooxanthellate"
"Truncatoflabellum australiensis","azooxanthellate"
"Truncatoflabellum candeanum","azooxanthellate"
"Truncatoflabellum carinatum","azooxanthellate"
"Truncatoflabellum crassum","azooxanthellate"
"Truncatoflabellum cumingii","azooxanthellate"
"Truncatoflabellum dens","azooxanthellate"
"Truncatoflabellum formosum","azooxanthellate"
"Truncatoflabellum gardineri","azooxanthellate"
"Truncatoflabellum inconstans","azooxanthellate"
"Truncatoflabellum incrustatum","azooxanthellate"
"Truncatoflabellum irregulare","azooxanthellate"
"Truncatoflabellum macroeschara","azooxanthellate"
"Truncatoflabellum martensii","azooxanthellate"
"Truncatoflabellum mortenseni","azooxanthellate"
"Truncatoflabellum multispinosum","azooxanthellate"
"Truncatoflabellum paripavoninum","azooxanthellate"
"Truncatoflabellum phoenix","azooxanthellate"
"Truncatoflabellum pusillum","azooxanthellate"
"Truncatoflabellum spheniscus","azooxanthellate"
"Truncatoflabellum stabile","azooxanthellate"
"Truncatoflabellum stokesii","azooxanthellate"
"Truncatoflabellum trapezoideum","azooxanthellate"
"Truncatoflabellum truncum","azooxanthellate"
"Truncatoflabellum vanuatu","azooxanthellate"
"Truncatoflabellum veroni","azooxanthellate"
"Truncatoflabellum vigintifarium","azooxanthellate"
"Truncatoflabellum zuluense","azooxanthellate"
"Truncatoguynia irregularis","azooxanthellate"
"Tubastraea coccinea","azooxanthellate"
"Tubastraea diaphana","azooxanthellate"
"Tubastraea faulkneri","azooxanthellate"
"Tubastraea floreana","azooxanthellate"
"Tubastraea micranthus","azooxanthellate"
"Tubastraea tagusensis","azooxanthellate"
"Turbinaria bifrons","zooxanthellate"
"Turbinaria conspicua","zooxanthellate"
"Turbinaria crater","zooxanthellate"
"Turbinaria frondens","zooxanthellate"
"Turbinaria heronensis","zooxanthellate"
"Turbinaria irregularis","zooxanthellate"
"Turbinaria mesenterina","zooxanthellate"
"Turbinaria patula","zooxanthellate"
"Turbinaria peltata","zooxanthellate"
"Turbinaria radicalis","zooxanthellate"
"Turbinaria reniformis","zooxanthellate"
"Turbinaria stellulata","zooxanthellate"
"Turbinolia stephensoni","azooxanthellate"
"Vaughanella concinna","azooxanthellate"
"Vaughanella margaritata","azooxanthellate"
"Vaughanella multipalifera","azooxanthellate"
"Vaughanella oreophila","azooxanthellate"
"Zoopilus echinatus","zooxanthellate"
