"species","aggressiveness","coloniality","colony_max_diameter","corallite_area","egg_diameter","fecundity_polyp","growthFormClasses","growth_rate","mode_larval_development","reduced_scattering_coefficient","sexual_system"
"Acropora rufa",39.889,"colonial",544.5,0.0102329526709054,0.555420068290405,8.6389587326638,"branching",105.173643528994,"spawner",7.2363,"hermaphrodite"
"Acropora russelli",36.305,"colonial",130.395454545455,0.00441786466911065,0.555596034585213,6.49141,"branching",56.3329437600972,"spawner",8.9549,"hermaphrodite"
"Acropora samoensis",37.013,"colonial",100,0.0132732289614169,0.558545749759242,36.1686101960784,"digitate",38.099349191929,"spawner",10.4909,"hermaphrodite"
"Acropora sarmentosa",36.279,"colonial",30,0.0176714586764426,0.537316086986054,57.40982,"corymbose",46.3959613661088,"spawner",7.52330000000001,"hermaphrodite"
"Acropora secale",38.865,"colonial",100,0.00441786466911065,0.541858950850617,29.9026785365854,"branching",70.3733700824793,"spawner",8.09,"hermaphrodite"
"Acropora selago",44.134,"colonial",75,0.0038484510006475,0.544645294657993,32.19096,"corymbose",52.646571964025,"spawner",8.5818,"hermaphrodite"
"Acropora seriata",41.328,"colonial",160.1,0.00837882395666483,0.554975850786445,15.4678458803092,"tables_or_plates",43.5939924043785,"spawner",10.1533,"hermaphrodite"
"Acropora simplex",48.691,"colonial",100,0.0038484510006475,0.541846121131257,35.0419187326638,"tables_or_plates",71.7813688058871,"spawner",8.2457,"hermaphrodite"
"Acropora sirikitiae",41.572,"colonial",401,0.00628770134661872,0.556426139386895,5.97069853658538,"branching",98.9307156351592,"spawner",7.6607,"hermaphrodite"
"Acropora solitaryensis",49.119,"colonial",300,0.00502654824574367,0.549361907401776,17.8631411723831,"tables_or_plates",16.7,"spawner",8.5635,"hermaphrodite"
"Acropora spathulata",42.018,"colonial",123.65,0.0103868907109313,0.554903219347013,11.3400801960784,"corymbose",52.0321786285334,"spawner",9.8555,"hermaphrodite"
"Acropora speciosa",32.631,"colonial",100,0.00237582944427728,0.556228767051849,32.38713,"corymbose",40.3,"spawner",9.1332,"hermaphrodite"
"Acropora spicifera",46.883,"colonial",465.7,0.00502654824574367,0.562085145004428,13.9635958803092,"tables_or_plates",113.564210526316,"spawner",8.25049999999999,"hermaphrodite"
"Acropora squarrosa",41.705,"colonial",706.25,0.00282743338823081,0.558306038359692,8.6423887326638,"branching",128.974108938703,"spawner",7.842,"hermaphrodite"
"Acropora striata",47.075,"colonial",561,0.00708821842466197,0.559199611780752,8.6087987326638,"branching",79.5121989980311,"spawner",8.04139999999999,"hermaphrodite"
"Acropora subglabra",34.733,"colonial",349.455454545455,0.00237582944427728,0.511793942814436,5.92137853658537,"branching",91.8078164608101,"spawner",8.2135,"hermaphrodite"
"Acropora subulata",38.2,"colonial",300,0.00785398163397448,0.526052097175078,10.9734556842308,"tables_or_plates",84.0589171520302,"spawner",7.83299999999999,"hermaphrodite"
"Acropora suharsonoi",43.532,"colonial",102.9,0.0038484510006475,0.548592528046155,31.71862,"corymbose",56.7396656148829,"spawner",8.8442,"hermaphrodite"
"Acropora sukarnoi",51.213,"colonial",150,0.00950331777710913,0.549540909244829,12.1141256842308,"tables_or_plates",54.1549046016323,"spawner",9.0551,"hermaphrodite"
"Acropora tanegashimensis",51.448,"colonial",168.6,0.0038484510006475,0.548916341441302,12.1661556842308,"tables_or_plates",63.3125854694104,"spawner",8.9345,"hermaphrodite"
"Acropora tenella",43.61,"colonial",108.8,0.00331830724035422,0.553781600545687,38.4232289287422,"tables_or_plates",46.4104680555126,"spawner",9.98579999999999,"hermaphrodite"
"Acropora tenuis",44.6,"colonial",100,0.00785398163397448,0.47512445447844,40.9642995873647,"corymbose",65.8254969813503,"spawner",9.65859999999999,"hermaphrodite"
"Acropora teres",39.36,"colonial",760.2,0.0094320428937807,0.555330068290405,8.6389587326638,"branching",121.000113035004,"spawner",7.2891,"hermaphrodite"
"Acropora torihalimeda",35.99,"colonial",133.195454545455,0.00502654824574367,0.555013201091375,6.44295,"branching",60.6955990974016,"spawner",8.8036,"hermaphrodite"
"Acropora torresiana",36.058,"colonial",144.345454545455,0.00409486967441365,0.556858868079052,6.89383,"branching",49.0974745676745,"spawner",8.9829,"hermaphrodite"
"Acropora tortuosa",33.216,"colonial",419.5,0.0103868907109313,0.561940183798768,8.8075187326638,"branching",62.0585391135698,"spawner",8.0493,"hermaphrodite"
"Acropora turaki",50.075,"colonial",200,0.00282743338823081,0.556793963048712,7.58772000000001,"branching",42.9175082186224,"spawner",9.31829999999999,"hermaphrodite"
"Acropora valenciennesi",38.289,"colonial",400,0.0103868907109313,0.554991586064528,5.96485853658537,"branching",179.333333333333,"spawner",7.2112,"hermaphrodite"
"Acropora valida",22.1,"colonial",300,0.0038484510006475,0.596,9.99034853658536,"corymbose",33.9028571428571,"spawner",9.215,"hermaphrodite"
"Acropora variolosa",39.158,"colonial",175.5662,0.00708821842466197,0.438161801562345,29.1104079278716,"branching",62.7798755472341,"spawner",14.53,"hermaphrodite"
"Acropora vaughani",38.515,"colonial",109.145454545455,0.00502654824574367,0.541027317568132,29.7874385365854,"branching",76.4998554642323,"spawner",7.83370000000001,"hermaphrodite"
"Acropora verweyi",39.502,"colonial",116.55,0.00708821842466197,0.556634737121135,11.3400801960784,"corymbose",53.3579495400525,"spawner",9.865,"hermaphrodite"
"Acropora walindii",40.301,"colonial",100,0.00125663706143592,0.551851701572891,33.9199301960784,"branching",50.0909238436858,"spawner",9.6429,"hermaphrodite"
"Acropora willisae",44.203,"colonial",100,0.00282743338823081,0.554380606163219,35.2349101960785,"corymbose",50.6302878241986,"spawner",9.9188,"hermaphrodite"
"Acropora yongei",35.705,"colonial",200,0.00785398163397448,0.560845850786445,7.35586,"branching",51.2072727272727,"spawner",9.1988,"hermaphrodite"
"Agaricia agaricites",16.285,"colonial",60,0.141862543263664,0.329144344836832,313.61313888987,"laminar",5.39344493392071,"brooder",6.8,"gonochore"
"Agaricia fragilis",3.2,"colonial",4.74,0.141862543263664,0.331552928089913,304.293729011474,"encrusting",7.16582018467276,"brooder",8.52,"gonochore"
"Agaricia grahamae",15.663,"colonial",24.0434,0.24630086404144,0.330144344836832,311.174767839091,"laminar",9.35958595358373,"brooder",6.84179999999999,"gonochore"
"Agaricia humilis",14.339,"colonial",12,0.113411494794592,0.334262928089913,302.185483523321,"encrusting",7.45624389864511,"brooder",7.73919999999999,"gonochore"
"Agaricia lamarcki",17.246,"colonial",11.21,0.306796157577128,0.343892928089913,304.51653750093,"laminar",4.725,"brooder",7.29409999999999,"gonochore"
"Agaricia tenuifolia",15.128,"colonial",36.5592,0.145220120412188,0.330074344836832,311.69156027881,"laminar",8.06933710399862,"brooder",6.6744,"gonochore"
"Agaricia undata",16.209,"colonial",24.9576,0.169822717880613,0.329334344836832,302.417050474888,"laminar",7.90222587051845,"brooder",6.93039999999999,"gonochore"
"Alveopora allingi",24.365,"colonial",503.46,0.0730616641500476,0.418107678170165,650.877198617232,"columnar",12.1967672190139,"spawner",9.37129999999999,"hermaphrodite"
"Alveopora catalai",21.303,"colonial",1000,0.0730616641500476,0.420696261423246,637.889147444849,"branching",32.7405337228605,"spawner",8.53879999999999,"hermaphrodite"
"Alveopora daedalea",27.529,"colonial",157.6477,0.0268802521422777,0.405157225628708,711.321703760357,"columnar",11.7667516584281,"brooder",10.8,"hermaphrodite"
"Alveopora excelsa",14.498,"colonial",200,0.0268802521422777,0.415328642375627,684.083570833527,"massive",9.10430688990128,"spawner",9.69079999999999,"hermaphrodite"
"Alveopora fenestrata",14.87,"colonial",260.84,0.0660519855417254,0.419580059122546,620.073837981173,"massive",9.40946205558112,"spawner",9.7391,"hermaphrodite"
"Alveopora gigas",30.996,"colonial",438.3,0.145220120412188,0.419320059122546,651.809865568799,"columnar",10.6545271163448,"spawner",9.4759,"hermaphrodite"
"Alveopora japonica",22.415,"colonial",4,0.0380132711084365,0.401173427929408,744.640979370113,"massive",8.32153518845822,"brooder",8.46389999999999,"hermaphrodite"
"Alveopora marionensis",18.431,"colonial",90.2505,0.057255526111674,0.405744844676327,694.446230833527,"massive",8.44155924019308,"brooder",8.71329999999999,"hermaphrodite"
"Alveopora minuta",22.408,"colonial",10,0.00950331777710913,0.402332011182488,743.286663881961,"massive",13.2047242752334,"brooder",8.43919999999999,"hermaphrodite"
"Alveopora ocellata",15.559,"colonial",464.59,0.0143138815279185,0.410080059122546,622.650971665665,"encrusting",14.6392509802144,"spawner",9.3519,"hermaphrodite"
"Alveopora spongiosa",25.655,"colonial",200,0.00950331777710913,0.415788642375627,709.30007680879,"columnar",14.9497951696554,"spawner",9.47409999999999,"hermaphrodite"
"Alveopora tizardi",13.115,"colonial",253,0.0165129963854314,0.414490059122546,618.626593956435,"encrusting",12.8471579208561,"spawner",9.87319999999999,"hermaphrodite"
