"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae"
"Dichopsammia granulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both"
"Diploastrea heliopora",NA,NA,19.94,NA,"colonial",700,0.502654824574367,NA,NA,NA,"massive","massive",2.43239285714286,NA,"spawner",8.7,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Diploria labyrinthiformis",NA,22.6,12.28,NA,"colonial",32.33,0.200296166620434,NA,NA,NA,"massive","massive",3.96824175824176,NA,"spawner",3.39,NA,1.30781609195402,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea albida",NA,NA,NA,NA,"colonial",NA,0.817128249198705,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea amicorum",NA,NA,NA,NA,"colonial",NA,0.723822947387088,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea camranensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea danai",NA,NA,37.43,NA,"colonial",NA,0.502654824574367,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea faviaformis",NA,NA,NA,NA,"colonial",20,1.87476505098379,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea favus",NA,52.6,32.05,NA,"colonial",37,0.534561624962388,NA,0.43,1200,"massive","massive",NA,NA,NA,3.98,12.5663706143592,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea helianthoides",NA,NA,NA,NA,"colonial",NA,0.453645979178366,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea lacuna",NA,NA,NA,NA,"colonial",100,0.483981983239593,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea laddi",NA,NA,NA,NA,"colonial",NA,0.297057220351,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea laxa",NA,NA,41.5,NA,"colonial",NA,0.180955736846772,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea lizardensis",NA,NA,76,NA,"colonial",100,1.39975624176102,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea maritima",NA,NA,6.73,NA,"colonial",NA,2.08672438033068,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea marshae",NA,NA,NA,NA,"colonial",60,1.98556509688509,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea matthaii",NA,NA,31.87,NA,"colonial",NA,1.0028749148422,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea maxima",NA,NA,16,NA,"colonial",NA,5.30929158456675,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea pallida",NA,83,55.04,NA,"colonial",NA,0.567450173054656,NA,NA,NA,"massive","massive",5.26296296296296,NA,"spawner",6.49,NA,1.43,NA,3.1,"hermaphrodite","zooxanthellate"
"Dipsastraea rosaria",NA,NA,NA,NA,"colonial",100,0.465662571078347,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea rotumana",NA,NA,23.04,NA,"colonial",NA,1.03868907109313,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea speciosa",NA,NA,33.6,NA,"colonial",75,0.594467869875529,NA,NA,NA,"massive","massive",7.92962962962963,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea truncata",NA,NA,35.19,NA,"colonial",NA,0.746619129079699,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea veroni",NA,NA,NA,NA,"colonial",NA,1.4848934026733,NA,NA,NA,"massive","massive",NA,NA,"spawner",12.41,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Dipsastraea vietnamensis",NA,NA,NA,NA,"colonial",NA,0.701380194868006,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Dipsastraea wisseli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Duncanopsammia axifuga",NA,NA,NA,NA,"colonial",NA,0.580880481648753,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinomorpha nishihirai",NA,NA,NA,NA,"both",NA,104.774078492628,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinophyllia aspera",NA,73.4,10.56,NA,"colonial",NA,0.762012933082289,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",5.64,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Echinophyllia costata",NA,NA,NA,NA,"colonial",80,0.188574099031727,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinophyllia echinata",NA,NA,NA,NA,"colonial",NA,1.21738678822013,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinophyllia echinoporoides",NA,NA,NA,NA,"colonial",NA,0.132025431267111,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinophyllia orpheensis",NA,NA,0,NA,"colonial",50,0.793271779985508,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Echinophyllia patula",NA,NA,NA,NA,"colonial",NA,0.278050584796782,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinophyllia pectinata",NA,NA,NA,NA,"colonial",NA,0.924590352905561,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinophyllia tarae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora ashmorensis",NA,NA,NA,NA,"colonial",200,0.177205460616549,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Echinopora forskaliana",NA,NA,NA,NA,"colonial",NA,0.200296166620434,NA,NA,NA,"massive","massive",NA,NA,NA,13.76,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora fruticulosa",NA,NA,NA,NA,"colonial",200,0.141862543263664,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora gemmacea",NA,89.7,31.56,NA,"colonial",NA,0.101787601976309,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",8.93,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Echinopora grandicula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora hirsutissima",NA,NA,NA,NA,"colonial",NA,0.122541748444087,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora horrida",NA,NA,0.79,NA,"colonial",500,0.0380132711084365,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Echinopora irregularis",NA,NA,NA,NA,"colonial",NA,0.0730616641500476,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora lamellosa",NA,49.9,8.87,NA,"colonial",500,0.0637939658219577,NA,0.25,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Echinopora mammiformis",NA,NA,19.16,NA,"colonial",500,0.441786466911065,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora pacificus",NA,NA,28.6,NA,"colonial",NA,0.0989798035421634,NA,NA,NA,"laminar","laminar",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Echinopora robusta",NA,NA,NA,NA,"colonial",NA,0.321699087727595,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora taylorae",NA,NA,NA,NA,"colonial",NA,0.101787601976309,NA,NA,NA,"laminar","laminar",NA,NA,NA,8.07,NA,NA,NA,NA,NA,"zooxanthellate"
"Echinopora tiranensis",NA,NA,NA,NA,"colonial",NA,0.068349275169663,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Enigmopora darveliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Erythrastrea flabellata",NA,NA,NA,NA,"colonial",100,1.13097335529233,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia ancora",NA,NA,NA,NA,"colonial",100,7.30616641500476,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Euphyllia cristata",NA,NA,NA,NA,"colonial",12,3.97607820219958,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia divisa",NA,NA,NA,NA,"colonial",100,3.80132711084365,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia fimbriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia glabrescens",NA,NA,2.75,NA,"colonial",NA,1.43138815279185,NA,NA,NA,"massive","massive",NA,NA,"brooder",7.75,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia paraancora",NA,NA,NA,NA,"colonial",NA,6.83492751696629,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia paradivisa",NA,NA,NA,NA,"colonial",NA,12.8824933751266,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia paraglabrescens",NA,NA,NA,NA,"colonial",NA,20.4282062299676,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Euphyllia yaeyamaensis",NA,NA,NA,NA,"colonial",NA,4.98759249683916,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Eusmilia fastigiata",NA,12.6,14.13,NA,"colonial",250,2.9864765163188,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Favia fragum",NA,31.9,34.21,NA,"colonial",5,0.196349540849362,NA,NA,NA,"massive","massive",NA,NA,"brooder",9.98,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favia gravida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"massive","massive",NA,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favia leptophylla",NA,NA,NA,NA,"colonial",100,0.453645979178366,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites abdita",NA,41.4,26.03,NA,"colonial",100,0.994019550549896,1.69375,NA,NA,"massive","massive",0.8,NA,"spawner",3.84,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favites acuticollis",NA,NA,NA,NA,"colonial",NA,0.502654824574367,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites chinensis",NA,NA,49.37,NA,"colonial",NA,0.785398163397448,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,9.4,"hermaphrodite","zooxanthellate"
"Favites colemani",NA,NA,NA,NA,"colonial",40,0.278050584796782,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites complanata",NA,NA,20.28,NA,"colonial",NA,1.41026094219646,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favites flexuosa",NA,20.8,43.34,NA,"colonial",NA,2.01061929829747,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favites halicora",NA,NA,25.66,NA,"colonial",NA,1.4957122623741,NA,NA,NA,"massive","massive",NA,NA,"spawner",4.8,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favites magnistellata",NA,NA,24.72,NA,"colonial",200,0.580880481648753,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favites melicerum",NA,NA,NA,NA,NA,NA,0.412824909635784,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites micropentagonus",NA,NA,NA,NA,"colonial",50,0.141862543263664,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites paraflexuosus",NA,NA,NA,NA,"colonial",60,1.39975624176102,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites pentagona",NA,55.2,27.07,NA,"colonial",100,0.297057220351,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favites rotundata",NA,NA,32.34,NA,"colonial",NA,2.74645883758454,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites spinosa",NA,NA,NA,NA,"colonial",NA,0.352565235549115,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites stylifera",NA,NA,NA,NA,"colonial",NA,0.273397100678652,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Favites valenciennesi",NA,20.8,18.14,NA,"colonial",NA,0.601320468851171,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Favites vasta",NA,NA,NA,NA,"colonial",NA,1.76714586764426,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Fungia fungites",NA,100,15.21,NA,"solitary",28,196.066797510539,NA,NA,NA,"massive","massive",2,NA,"spawner",4.65,NA,1.99,NA,NA,"gonochore","zooxanthellate"
"Galaxea acrhelia",NA,NA,29.85,NA,"colonial",200,0.200296166620434,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Galaxea astreata",NA,78.8,47.59,NA,"colonial",200,0.0989798035421634,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Galaxea cryptoramosa",NA,NA,NA,NA,"colonial",30,0.152053084433746,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Galaxea fascicularis",NA,86.2,25.43,NA,"colonial",500,0.534561624962388,NA,NA,NA,"massive","massive",NA,NA,"spawner",8.06,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Galaxea horrescens",NA,NA,28.51,NA,"colonial",200,0.057255526111674,NA,NA,NA,"branching_closed","branching",NA,NA,"brooder",NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Galaxea longisepta",NA,NA,NA,NA,"colonial",15,0.297057220351,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Galaxea paucisepta",NA,NA,NA,NA,"colonial",NA,0.059395736106932,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Gardineroseris planulata",NA,32.8,23.31,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"massive","massive",8.964,NA,"spawner",NA,NA,1.63,NA,NA,"gonochore","zooxanthellate"
"Goniastrea columella",NA,NA,NA,NA,"colonial",NA,1.59484914554894,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniastrea edwardsi",NA,NA,56.91,NA,"colonial",100,0.110446616727766,NA,NA,NA,"massive","massive",9.8625,NA,"spawner",NA,NA,NA,368000,NA,"hermaphrodite","zooxanthellate"
"Goniastrea favulus",5.5,NA,14.95,NA,"colonial",NA,0.259672267773281,NA,NA,95.1566951566951,"massive","massive",4.09761904761905,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Goniastrea minuta",NA,NA,NA,NA,"colonial",NA,0.204282062299676,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Goniastrea pectinata",NA,60.1,46.88,NA,"colonial",NA,0.785398163397448,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,1920000,NA,"hermaphrodite","zooxanthellate"
"Goniastrea ramosa",NA,NA,NA,NA,"colonial",30,0.19244218498646,NA,NA,NA,"encrusting_long_uprights","encrusting_long_uprights",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniastrea retiformis",NA,NA,56.85,14,"colonial",100,0.196349540849362,0.74,0.371,45.818,"massive","massive",6.96785714285714,11,"spawner",11.03,27.95117054,1.7,2880000,2.8,"hermaphrodite","zooxanthellate"
"Goniastrea stelligera",NA,65.7,49.18,NA,"colonial",NA,0.135265198691126,NA,NA,NA,"massive","massive",10,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Goniastrea thecata",NA,NA,NA,NA,"colonial",100,0.508957644835632,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora albiconus",NA,NA,NA,NA,"colonial",100,0.0471435247579318,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora burgosi",NA,NA,NA,NA,"colonial",NA,0.0188691908756237,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora cellulosa",NA,NA,NA,NA,"colonial",NA,0.0829576810088555,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora ciliatus",NA,NA,NA,NA,"colonial",500,0.0881413088872786,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora columna",NA,NA,36.83,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Goniopora diminuta",NA,NA,NA,NA,"colonial",30,0.0989798035421634,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora djiboutiensis",NA,NA,23.02,NA,"colonial",NA,0.122541748444087,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Goniopora eclipsensis",NA,NA,NA,NA,"colonial",NA,0.0510705155749191,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora fruticosa",NA,NA,NA,NA,"colonial",NA,0.057255526111674,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora lobata",NA,NA,19.66,NA,"colonial",NA,0.0962112750161874,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Goniopora mauritiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora norfolkensis",NA,NA,NA,NA,"colonial",NA,0.029864765163188,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Goniopora paliformis",NA,NA,NA,NA,"colonial",NA,0.0363050301030471,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora palmensis",NA,NA,NA,NA,"colonial",NA,0.0330063578167778,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora pandoraensis",NA,NA,NA,NA,"colonial",NA,0.0433736135736241,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora pearsoni",NA,NA,NA,NA,"colonial",200,0.059395736106932,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora pedunculata",NA,NA,50.44,NA,"colonial",NA,0.0314159265358979,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Goniopora pendulus",NA,NA,NA,NA,"colonial",NA,0.184745282985165,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora planulata",NA,NA,NA,NA,"colonial",NA,0.0433736135736241,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora polyformis",NA,NA,NA,NA,NA,NA,0.216475368786422,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora savignyi",NA,93.1,NA,NA,"colonial",NA,0.029864765163188,NA,NA,NA,"columnar","columnar",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Goniopora somaliensis",NA,NA,NA,NA,"colonial",200,0.0551545860245858,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora stokesi",NA,NA,13.75,NA,"colonial",10,0.107521008569111,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora sultani",NA,NA,NA,NA,"colonial",NA,0.430084034276443,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora tantillus",NA,NA,NA,NA,NA,NA,0.0471435247579318,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora tenella",NA,NA,NA,NA,"colonial",NA,0.0471435247579318,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Goniopora tenuidens",NA,NA,39.29,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Gyrosmilia interrupta",NA,NA,NA,NA,"colonial",50,0.407150407905237,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Halomitra clavator",NA,NA,NA,NA,"colonial",NA,0.177205460616549,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Halomitra pileus",NA,82.1,NA,NA,"colonial",60,0.101787601976309,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Heliofungia actiniformis",NA,NA,0,NA,"solitary",20,158.367685667461,NA,NA,NA,"massive","massive",5.76,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Heliofungia fralinae",NA,NA,NA,NA,NA,NA,63.6172512351933,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Helioseris cucullata",NA,10.1,11,NA,"colonial",24,0.057255526111674,NA,NA,NA,"laminar","laminar",NA,NA,NA,5.62,NA,2.23823529411765,NA,NA,NA,"zooxanthellate"
"Herpolitha limax",NA,NA,0,NA,"colonial",NA,1075.21008569111,NA,NA,NA,"massive","massive",10,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate"
"Heterocyathus aequicostatus",NA,NA,NA,NA,"solitary",NA,0.24630086404144,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","both"
"Heterocyathus alternatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both"
"Heterocyathus sulcatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both"
"Heteropsammia cochlea",NA,NA,NA,NA,"colonial",NA,0.4185386812745,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","both"
"Heteropsammia eupsammides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both"
"Homophyllia australis",NA,NA,NA,NA,"both",6,44.1786466911065,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Homophyllia bowerbanki",NA,NA,0,NA,"colonial",200,3.97607820219958,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Horastrea indica",NA,NA,NA,NA,"colonial",NA,0.874167790815445,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Hydnophora bonsai",NA,NA,NA,NA,"colonial",NA,0.0804247719318987,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
