"species","numberClades","meanThermoRank","maxThermoRank"
"Mycedium elephantotus",7,37.3457142857143,55.32
"Mycetophyllia reesi",1,25.98,25.98
"Oculina arbuscula",1,34.94,34.94
"Oculina diffusa",2,29.285,34.94
"Orbicella annularis",12,23.0241666666667,53.12
"Orbicella faveolata",12,25.8716666666667,53.12
"Orbicella franksi",10,26.583,53.12
"Oulophyllia crispa",4,27.29,39.51
"Oxypora glabra",2,32.745,39.51
"Oxypora lacera",3,29.1466666666667,39.51
"Pachyseris gemmae",1,40.25,40.25
"Pachyseris rugosa",4,27.29,39.51
"Pachyseris speciosa",6,37.4383333333333,53.12
"Palauastrea ramosa",1,21.72,21.72
"Paragoniastrea australensis",5,35.25,53.12
"Paragoniastrea deformis",1,25.98,25.98
"Paramontastraea peresi",1,21.72,21.72
"Pavona cactus",1,21.72,21.72
"Pavona clavus",2,28.715,35.71
"Pavona decussata",3,39.5533333333333,53.12
"Pavona duerdeni",3,23.2166666666667,25.98
"Pavona explanulata",6,37.4383333333333,53.12
"Pavona gigantea",2,28.715,35.71
"Pavona maldivensis",3,29.1466666666667,39.51
"Pavona minuta",2,23.965,25.98
"Pavona varians",7,37.4514285714286,55.32
"Pavona venosa",2,23.965,25.98
"Pectinia africana",2,23.965,25.98
"Pectinia alcicornis",3,29.3933333333333,40.25
"Pectinia lactuca",3,29.1466666666667,39.51
"Pectinia paeonia",3,29.1466666666667,39.51
"Physogyra lichtensteini",4,36.2175,53.12
"Platygyra contorta",2,23.965,25.98
"Platygyra daedalea",6,32.1933333333333,53.12
"Platygyra lamellina",3,14.5133333333333,25.98
"Platygyra pini",5,36.876,53.12
"Platygyra ryukyuensis",2,32.745,39.51
"Platygyra sinensis",5,31.608,53.12
"Platygyra verweyi",2,23.965,25.98
"Plerogyra sinuosa",5,33.318,53.12
"Plesiastrea versipora",3,21.1666666666667,25.98
"Pleuractis granulosa",4,27.29,39.51
"Pleuractis paumotensis",3,29.1466666666667,39.51
"Pocillopora capitata",3,33.75,43.82
"Pocillopora damicornis",17,32.5564705882353,55.32
"Pocillopora elegans",2,28.715,35.71
"Pocillopora grandis",9,32.5688888888889,55.32
"Pocillopora ligulata",1,21.72,21.72
"Pocillopora meandrina",7,30.2714285714286,53.12
"Pocillopora verrucosa",6,37.875,55.32
"Podabacia crustacea",5,36.876,53.12
"Polycyathus chaishanensis",1,21.72,21.72
"Polyphyllia talpina",4,27.29,39.51
"Porites annae",1,37.59,37.59
"Porites astreoides",6,31.6666666666667,45.95
"Porites brighami",2,29.655,37.59
"Porites colonensis",1,21.72,21.72
"Porites compressa",1,37.59,37.59
"Porites cylindrica",1,37.59,37.59
"Porites divaricata",3,26.85,35.86
"Porites evermanni",1,37.59,37.59
"Porites furcata",3,30.85,45.95
"Porites lichen",1,37.59,37.59
"Porites lobata",1,37.59,37.59
"Porites lutea",1,37.59,37.59
"Porites mayeri",1,37.59,37.59
"Porites nigrescens",1,37.59,37.59
"Porites panamensis",2,25.465,29.21
"Porites porites",4,29.0675,45.95
"Porites profundus",1,37.59,37.59
"Porites rus",1,37.59,37.59
"Porites sillimaniani",1,37.59,37.59
"Porites stephensoni",2,29.77,37.59
"Porites vaughani",1,37.59,37.59
"Psammocora contigua",4,38.5925,53.12
"Psammocora digitata",3,23.2166666666667,25.98
"Psammocora haimiana",1,21.72,21.72
"Psammocora profundacella",1,21.72,21.72
"Psammocora stellata",1,21.72,21.72
"Pseudodiploria clivosa",3,40.19,53.12
"Pseudodiploria strigosa",3,23.7766666666667,25.98
"Sandalolitha robusta",5,36.83,53.12
"Seriatopora caliendrum",1,55.32,55.32
"Seriatopora hystrix",9,26.3933333333333,53.12
"Siderastrea radians",6,34.8283333333333,53.12
"Siderastrea siderea",8,29.9425,53.12
"Stephanocoenia intersepta",2,30.92,35.86
"Stylocoeniella armata",1,25.98,25.98
"Stylophora pistillata",10,31.224,71.12
"Symphyllia recta",3,34.4166666666667,55.32
"Turbinaria frondens",6,39.95,55.32
"Turbinaria mesenterina",4,38.105,63.22
"Turbinaria reniformis",3,28.3133333333333,55.32
"Turbinaria stellulata",2,38.52,55.32
