"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9"
"Astreopora expansa",NA,NA,NA,NA,"colonial",NA,0.0380132711084365,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6818.41,956.09,87.93,132.89,16.18,308.22,25.71,61.68,-6.8
"Astreopora explanata",NA,NA,NA,NA,NA,NA,0.0113097335529233,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6785.32,920.11,98.29,154.12,16.72,273.77,47.94,92.35,-6.3
"Astreopora gracilis",NA,NA,NA,NA,"colonial",NA,0.0176714586764426,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-6784.93,919.76,98.37,154.04,16.8,273.5,47.93,91.97,-6.35
"Astreopora incrustans",NA,NA,NA,NA,"colonial",100,0.00502654824574367,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6784.25,919.12,98.54,154.07,16.9,272.78,48.15,91.86,-6.4
"Astreopora listeri",NA,5.9,NA,NA,"colonial",NA,0.0165129963854314,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-6785.77,920.53,98.18,154.1,16.65,274.24,47.8,92.44,-6.27
"Astreopora macrostoma",NA,NA,NA,NA,"colonial",NA,0.045238934211693,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6785.66,920.42,98.21,154.13,16.67,274.1,47.86,92.48,-6.27
"Astreopora moretonensis",NA,NA,NA,NA,"colonial",NA,0.041547562843725,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6784.9,919.72,98.39,154.1,16.79,273.38,48.02,92.15,-6.34
"Astreopora myriophthalma",NA,3.4,2.75,NA,"colonial",NA,0.0380132711084365,NA,NA,NA,"massive","massive",7.75,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-6783.92,918.84,98.61,153.96,16.98,272.6,48.11,91.44,-6.44
"Astreopora ocellata",NA,NA,NA,NA,"colonial",NA,0.0254469004940773,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6785.52,920.3,98.24,154.1,16.7,273.99,47.87,92.36,-6.29
"Astreopora randalli",NA,NA,NA,NA,"colonial",NA,0.0132732289614169,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6785.26,920.06,98.3,154.07,16.74,273.79,47.89,92.16,-6.32
"Astreopora scabra",NA,NA,NA,NA,"colonial",NA,0.0330063578167778,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6782.75,917.74,98.89,153.98,17.16,271.4,48.44,91.14,-6.53
"Astreopora suggesta",NA,NA,NA,NA,"colonial",NA,0.0143138815279185,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6782.74,917.76,98.88,153.87,17.18,271.57,48.3,90.79,-6.55
"Australogyra zelli",NA,NA,55.89,NA,"colonial",200,0.292246656600191,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8074.05,564.5,-893.22,119.45,-22.21,3.64,-0.8,-0.23,164.8
"Australophyllia wilsoni",NA,NA,NA,NA,"colonial",NA,4.43013651541373,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7973.16,506.77,-744.45,105.25,-4.45,4.25,14.74,1.98,-203.38
"Balanophyllia europaea",NA,NA,NA,NA,"solitary",2,1.74366246255868,NA,NA,NA,"massive","massive",1.36937734433608,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-4049.6,-3704.41,131.2,203.43,191.57,95.54,964.55,-385.45,91.54
"Bernardpora stutchburyi",NA,NA,NA,NA,"colonial",NA,0.0254469004940773,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,"gonochore","zooxanthellate",-4319.38,-4576.05,-407.38,-295.7,-41.78,-27.63,-176.96,51.36,-17.07
"Blastomussa loyae",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7255.91,102.83,162.76,46.53,96.42,12.11,103.28,1.6,-339.59
"Blastomussa merleti",NA,NA,NA,NA,NA,NA,0.188574099031727,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7256.05,102.91,162.72,46.5,96.41,12.1,103.26,1.6,-339.8
"Blastomussa omanensis",NA,NA,NA,NA,"colonial",NA,0.188574099031727,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7256.03,102.9,162.73,46.51,96.41,12.1,103.27,1.6,-339.77
"Blastomussa wellsi",NA,NA,NA,NA,"colonial",NA,1.63993100012796,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",7179.07,58.23,286.7,32.59,110.8,12.4,116.42,2.08,-498.48
"Boninastrea boninensis",NA,NA,NA,NA,"colonial",NA,0.264207942166902,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8077.06,566.09,-897,119.65,-22.63,3.63,-0.71,-0.54,166.7
"Cantharellus doederleini",NA,NA,NA,NA,"solitary",5,21.4418607346025,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6988.95,-84.66,1393.59,-390.01,-605.02,11.58,17.85,-0.24,49.9
"Cantharellus jebbi",NA,NA,NA,NA,"both",20,38.484510006475,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6988.08,-84.99,1390.23,-387.58,-598.72,11.52,18.65,-0.22,44.75
"Cantharellus noumeae",NA,NA,NA,NA,"both",20,314.159265358979,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6988.81,-84.72,1393.4,-389.86,-604.76,11.58,17.91,-0.24,49.84
"Catalaphyllia jardinei",NA,NA,2.75,NA,"colonial",100,2.21670777637296,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",8025.37,536.99,-829.31,114.82,-14.93,4.12,5.65,0.04,106.54
"Caulastraea connata",NA,NA,NA,NA,"colonial",NA,3.97607820219958,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8073.96,564.39,-893.02,119.4,-22.18,3.65,-0.5,-0.4,163.71
"Caulastraea curvata",NA,NA,NA,NA,"colonial",100,0.924590352905561,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8074.52,564.71,-893.73,119.45,-22.26,3.65,-0.57,-0.4,164.26
"Caulastraea echinulata",NA,NA,NA,NA,"colonial",NA,1.05683176866761,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8073.71,564.25,-892.7,119.38,-22.14,3.66,-0.46,-0.4,163.46
"Caulastraea furcata",NA,NA,4.55,NA,"colonial",500,0.785398163397448,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8074.58,564.73,-893.8,119.45,-22.27,3.65,-0.58,-0.4,164.31
"Caulastraea tumida",NA,NA,NA,NA,"colonial",100,3.14159265358979,NA,NA,NA,"massive","massive",NA,NA,NA,11.79,NA,NA,NA,NA,NA,"zooxanthellate",8074.31,564.58,-893.46,119.43,-22.23,3.65,-0.54,-0.4,164.05
"Cladocora arbuscula",NA,NA,2.75,NA,"colonial",NA,0.0551545860245858,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7048.23,-17.28,485.99,11.86,132.17,13.24,138.09,2.3,-717.09
"Cladocora caespitosa",NA,NA,NA,NA,"colonial",50,0.0989798035421634,NA,NA,NA,"massive","massive",3.46,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7052.7,-15.09,486.57,10.39,132.26,13.03,137.94,2.35,-737.52
"Coelastrea aspera",4.5,NA,14.27,15.175,"colonial",500,0.785398163397448,1.86,0.372,272.549019607843,"massive","massive",4.01304347826087,NA,"spawner",9.73,NA,NA,6900000,3.6,"hermaphrodite","zooxanthellate",8080.81,568.32,-901.93,120.05,-23.2,3.57,-1.72,-0.24,171.99
"Coelastrea palauensis",NA,NA,NA,NA,"colonial",20,1.62860163162095,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8077.25,566.08,-897.52,119.69,-22.69,3.66,-0.24,-0.87,167.48
"Coeloseris mayeri",NA,20.8,35.96,NA,"colonial",NA,0.785398163397448,NA,NA,NA,"massive","massive",NA,NA,NA,5.94,NA,NA,NA,NA,NA,"zooxanthellate",-5987.11,-61.74,476.37,1802.73,-352.77,-451.74,-255.05,-187.67,-2.46
"Colpophyllia natans",NA,17.6,17.3082608695652,NA,"colonial",200,0.916088417786784,NA,NA,NA,"massive","massive",11.7447422680412,NA,"spawner",NA,NA,0.84,NA,NA,"hermaphrodite","zooxanthellate",7933.19,484.43,-697.6,103.01,0.51,4.77,19,1.56,-145.58
"Coscinaraea columna",NA,NA,6.51,NA,"colonial",NA,0.177205460616549,NA,NA,NA,"massive","massive",NA,NA,"spawner",9.8,NA,NA,NA,NA,"gonochore","zooxanthellate",6988.24,-84.78,1385.41,-384.25,-588.18,11.31,19.68,-0.18,32.89
"Coscinaraea crassa",NA,NA,NA,NA,"colonial",NA,0.785398163397448,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6988.46,-84.68,1385.73,-384.5,-588.6,11.31,19.59,-0.18,32.98
"Coscinaraea exesa",NA,NA,8,NA,"colonial",NA,0.148616967468882,NA,NA,NA,"columnar","columnar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6988.37,-84.72,1385.6,-384.4,-588.44,11.31,19.62,-0.18,32.95
"Coscinaraea hahazimaensis",NA,NA,NA,NA,"colonial",NA,0.0490873852123405,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6987.38,-85.16,1384.19,-383.33,-586.6,11.34,20.03,-0.18,32.56
"Coscinaraea marshae",NA,NA,NA,NA,"colonial",NA,0.135265198691126,NA,NA,NA,"encrusting","encrusting",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",6988.37,-84.72,1385.59,-384.39,-588.43,11.31,19.63,-0.18,32.94
"Coscinaraea mcneilli",NA,NA,NA,NA,"colonial",NA,0.196349540849362,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6988.23,-84.78,1385.4,-384.25,-588.18,11.31,19.68,-0.18,32.89
"Coscinaraea monile",NA,NA,37.13,NA,"colonial",NA,0.196349540849362,NA,NA,NA,"massive","massive",NA,NA,NA,6.26,NA,NA,NA,NA,NA,"zooxanthellate",6988.43,-84.69,1385.68,-384.46,-588.54,11.31,19.6,-0.18,32.97
"Craterastrea levis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",6981.27,-87.88,1375.44,-376.73,-575.23,11.56,22.56,-0.16,30.18
"Ctenactis albitentaculata",NA,NA,NA,NA,"solitary",NA,530.929158456675,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7040.26,-62.06,1476,-451.58,-719.65,10.12,-5.11,-0.45,89.91
"Ctenactis crassa",NA,NA,NA,NA,"solitary",NA,437.435361085843,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7040.49,-61.95,1476.37,-451.86,-720.17,10.11,-5.22,-0.45,90.08
"Ctenactis echinata",NA,NA,0,NA,"solitary",NA,633.470742669846,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7042.57,-61.04,1479.78,-454.39,-724.87,10.05,-6.17,-0.46,92.1
"Ctenella chagius",NA,55.8,NA,NA,"colonial",NA,NA,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-6241.85,301.78,294.04,703.07,-17.38,307.08,349.42,915.95,76.54
"Cycloseris costulata",NA,NA,NA,NA,"solitary",8,41.85386812745,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.35,-58.49,1488.89,-461.21,-737.41,9.88,-8.74,-0.48,96.41
"Cycloseris curvata",NA,NA,17.5,NA,"solitary",9,47.7836242611008,NA,NA,NA,"massive","massive",NA,NA,NA,5.83,NA,NA,NA,NA,NA,"zooxanthellate",7048.69,-58.34,1489.43,-461.61,-738.16,9.87,-8.89,-0.49,96.67
"Cycloseris cyclolites",NA,NA,NA,NA,"solitary",40,9.34820163983813,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.66,-58.36,1489.38,-461.57,-738.09,9.87,-8.87,-0.49,96.65
"Cycloseris distorta",NA,NA,1.38,NA,"solitary",4,12.5663706143592,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7048.64,-58.36,1489.35,-461.55,-738.05,9.87,-8.87,-0.49,96.63
"Cycloseris explanulata",NA,NA,NA,NA,"solitary",NA,0.122541748444087,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7045.71,-59.66,1484.65,-458.04,-731.51,9.96,-7.55,-0.47,94.31
"Cycloseris fragilis",NA,NA,NA,NA,"solitary",7,18.0955736846772,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.26,-58.53,1488.75,-461.1,-737.21,9.88,-8.7,-0.48,96.34
"Cycloseris hexagonalis",NA,NA,NA,NA,"solitary",9,6.40180006480669,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7047.41,-58.91,1487.39,-460.09,-735.33,9.91,-8.32,-0.48,95.68
"Cycloseris mokai",NA,NA,NA,NA,"solitary",10,0.237582944427728,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.47,-58.44,1489.08,-461.35,-737.67,9.88,-8.79,-0.49,96.5
"Cycloseris sinensis",NA,NA,NA,NA,"solitary",NA,22.9446415804471,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.55,-58.4,1489.21,-461.45,-737.85,9.88,-8.83,-0.49,96.56
"Cycloseris somervillei",NA,NA,NA,NA,"solitary",13,111.313715935111,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.11,-58.6,1488.52,-460.93,-736.89,9.89,-8.63,-0.48,96.23
"Cycloseris tenuis",NA,NA,NA,NA,"solitary",NA,15.7632552986521,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.69,-58.34,1489.43,-461.61,-738.16,9.87,-8.89,-0.49,96.67
"Cycloseris vaughani",NA,NA,NA,NA,"solitary",NA,26.8782886468692,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7048.02,-58.64,1488.37,-460.82,-736.69,9.89,-8.59,-0.48,96.16
"Cycloseris wellsi",NA,NA,NA,NA,"solitary",NA,0.0397607820219958,NA,NA,NA,"laminar","laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7045.65,-59.68,1484.55,-457.97,-731.38,9.96,-7.53,-0.47,94.27
"Cynarina lacrymalis",NA,93.1,NA,NA,"solitary",NA,56.7450173054656,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7963.56,501.42,-733.53,104.82,-3.27,4.39,15.82,1.9,-192.63
"Cynarina macassarensis",NA,NA,NA,NA,"solitary",4.5,NA,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7963.79,501.56,-733.83,104.84,-3.3,4.39,15.8,1.9,-193.03
"Cyphastrea agassizi",NA,NA,NA,NA,"colonial",NA,0.0254469004940773,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7952.67,495.98,-735.39,108.34,-4.25,4.88,15.15,0.44,28.55
"Cyphastrea chalcidicum",NA,25.7,0,NA,"colonial",100,0.0380132711084365,NA,NA,NA,"massive","massive",NA,NA,"spawner",9.64,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7955.3,497.44,-738.39,108.46,-4.6,4.84,14.8,0.44,29.25
"Cyphastrea decadia",NA,NA,0.79,NA,"colonial",NA,0.0490873852123405,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7954.6,497.05,-737.58,108.42,-4.5,4.85,14.89,0.44,29.07
"Cyphastrea hexasepta",NA,NA,NA,NA,"colonial",NA,0.00567450173054656,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7955.32,497.45,-738.41,108.46,-4.6,4.84,14.8,0.44,29.28
"Cyphastrea japonica",NA,NA,NA,NA,"colonial",NA,0.0226980069221863,NA,NA,NA,"submassive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7955.22,497.39,-738.29,108.45,-4.58,4.84,14.81,0.44,29.23
"Cyphastrea microphthalma",NA,26.3,6.54,NA,"colonial",NA,0.0363050301030471,NA,NA,NA,"massive","massive",NA,NA,"spawner",6.37,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7955.2,497.39,-738.28,108.45,-4.58,4.84,14.81,0.44,29.26
"Cyphastrea ocellina",NA,NA,5.5,NA,"colonial",NA,0.0380132711084365,NA,NA,NA,"massive","massive",3.255,NA,"brooder",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7950.78,494.92,-733.22,108.26,-4,4.91,15.41,0.44,27.89
"Cyphastrea serailia",NA,NA,8.64,NA,"colonial",NA,0.0283528736986479,NA,NA,NA,"massive","massive",4.93333333333333,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",7955.36,497.47,-738.45,108.46,-4.6,4.84,14.79,0.44,29.27
"Danafungia horrida",NA,NA,0,NA,"solitary",20,326.851299679482,NA,0.21,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7055.76,-55.23,1500.92,-470.21,-754.36,9.68,-12.04,-0.52,101.91
"Danafungia scruposa",NA,NA,NA,NA,"solitary",24,96.7689077121996,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"gonochore","zooxanthellate",7055.62,-55.29,1500.69,-470.04,-754.04,9.69,-11.97,-0.51,101.8
"Dendrogyra cylindrus",NA,NA,45.38,NA,"colonial",200,0.0829576810088555,NA,NA,NA,"columnar","columnar",18.7146923076923,NA,"spawner",6.75,NA,NA,NA,NA,"gonochore","zooxanthellate",7029.18,-26.61,483.85,17.66,130.13,14.07,137.45,2.08,-612.27
"Dichocoenia stokesii",NA,47.8,9,NA,"colonial",55,0.496391274221272,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,2.04,NA,NA,"gonochore","zooxanthellate",7029.02,-26.69,483.83,17.71,130.13,14.07,137.46,2.08,-611.6
"Dichopsammia granulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",-4013.5,-3576.63,211.13,288.5,231.67,121.89,1246.9,-518.24,139.96
"Diploastrea heliopora",NA,NA,19.94,NA,"colonial",700,0.502654824574367,NA,NA,NA,"massive","massive",2.43239285714286,NA,"spawner",8.7,NA,NA,NA,NA,"gonochore","zooxanthellate",7521.76,254.42,-209.33,78.99,55.17,10.19,69.5,1.23,-146.29
"Diploria labyrinthiformis",NA,22.6,12.28,NA,"colonial",32.33,0.200296166620434,NA,NA,NA,"massive","massive",3.96824175824176,NA,"spawner",3.39,NA,1.30781609195402,NA,NA,"hermaphrodite","zooxanthellate",7932.95,484.3,-697.35,103,0.54,4.77,19.03,1.55,-145.4
"Dipsastraea albida",NA,NA,NA,NA,"colonial",NA,0.817128249198705,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8080.76,568.08,-902,119.99,-23.2,3.62,-0.74,-0.86,171
"Dipsastraea amicorum",NA,NA,NA,NA,"colonial",NA,0.723822947387088,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8076.26,565.57,-896.18,119.6,-22.54,3.66,-0.28,-0.75,166.39
"Dipsastraea danai",NA,NA,37.43,NA,"colonial",NA,0.502654824574367,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8080.79,568.1,-902.04,119.99,-23.2,3.62,-0.74,-0.86,171.03
"Dipsastraea faviaformis",NA,NA,NA,NA,"colonial",20,1.87476505098379,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7951.38,494.63,-719.64,104.25,-1.78,4.56,17.16,1.79,-178.2
"Dipsastraea favus",NA,52.6,32.05,NA,"colonial",37,0.534561624962388,NA,0.43,1200,"massive","massive",NA,NA,NA,3.98,12.5663706143592,NA,NA,NA,NA,"zooxanthellate",8078.96,567.08,-899.65,119.83,-22.93,3.64,-0.58,-0.8,169.14
"Dipsastraea helianthoides",NA,NA,NA,NA,"colonial",NA,0.453645979178366,NA,NA,NA,"submassive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,NA,"zooxanthellate",8080.31,567.82,-901.4,119.95,-23.13,3.62,-0.7,-0.85,170.53
"Dipsastraea lacuna",NA,NA,NA,NA,"colonial",100,0.483981983239593,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8076.92,566.02,-896.83,119.64,-22.61,3.63,-0.69,-0.54,166.57
"Dipsastraea laddi",NA,NA,NA,NA,"colonial",NA,0.297057220351,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8077.49,566.26,-897.76,119.71,-22.72,3.65,-0.43,-0.76,167.64
"Dipsastraea laxa",NA,NA,41.5,NA,"colonial",NA,0.180955736846772,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8080.59,567.99,-901.77,119.97,-23.17,3.62,-0.73,-0.85,170.82
"Dipsastraea lizardensis",NA,NA,76,NA,"colonial",100,1.39975624176102,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8080.79,568.09,-902.03,119.99,-23.2,3.62,-0.74,-0.86,171.02
"Dipsastraea maritima",NA,NA,6.73,NA,"colonial",NA,2.08672438033068,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8072.22,563.35,-890.88,119.25,-21.93,3.69,0.01,-0.57,162.06
"Dipsastraea marshae",NA,NA,NA,NA,"colonial",60,1.98556509688509,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8086.21,571.37,-908.88,120.53,-23.99,3.51,-2.46,-0.25,177.69
"Dipsastraea matthaii",NA,NA,31.87,NA,"colonial",NA,1.0028749148422,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8080.76,568.08,-902,119.99,-23.2,3.62,-0.74,-0.86,171
"Dipsastraea maxima",NA,NA,16,NA,"colonial",NA,5.30929158456675,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8072,563.19,-890.69,119.24,-21.91,3.7,0.19,-0.67,162.02
"Dipsastraea pallida",NA,83,55.04,NA,"colonial",NA,0.567450173054656,NA,NA,NA,"massive","massive",5.26296296296296,NA,"spawner",6.49,NA,1.43,NA,3.1,"hermaphrodite","zooxanthellate",8080.78,568.09,-902.02,119.99,-23.2,3.62,-0.74,-0.86,171.02
"Dipsastraea rosaria",NA,NA,NA,NA,"colonial",100,0.465662571078347,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8070.56,562.38,-888.84,119.11,-21.7,3.72,0.37,-0.66,160.56
"Dipsastraea rotumana",NA,NA,23.04,NA,"colonial",NA,1.03868907109313,NA,NA,NA,"massive","massive",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8071.04,562.52,-889.72,119.16,-21.81,3.74,0.83,-1.01,161.48
"Dipsastraea speciosa",NA,NA,33.6,NA,"colonial",75,0.594467869875529,NA,NA,NA,"massive","massive",7.92962962962963,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8080.69,568.04,-901.9,119.98,-23.19,3.62,-0.73,-0.86,170.92
"Dipsastraea truncata",NA,NA,35.19,NA,"colonial",NA,0.746619129079699,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8080.31,567.82,-901.42,119.95,-23.13,3.63,-0.66,-0.87,170.55
"Dipsastraea veroni",NA,NA,NA,NA,"colonial",NA,1.4848934026733,NA,NA,NA,"massive","massive",NA,NA,"spawner",12.41,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",8074.34,564.5,-893.69,119.44,-22.25,3.68,-0.08,-0.7,164.41
"Dipsastraea vietnamensis",NA,NA,NA,NA,"colonial",NA,0.701380194868006,NA,NA,NA,"massive","massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",8075.5,565.21,-895.03,119.52,-22.41,3.65,-0.5,-0.54,165.2
"Duncanopsammia axifuga",NA,NA,NA,NA,"colonial",NA,0.580880481648753,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-4016.94,-3583.78,207.5,287.96,231.6,123.35,1271.75,-535.07,148.39
"Echinomorpha nishihirai",NA,NA,NA,NA,"both",NA,104.774078492628,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",7961.69,500.38,-731.41,104.73,-3.04,4.41,16.02,1.88,-190.43
