"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9"
"Acropora forskali",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7438.69,1653.34,-134.29,-492.21,60.59,-357.82,48.01,-3.21,-2.66
"Acropora gemmifera",NA,20.8,71.07,NA,"colonial",NA,0.0132732289614169,NA,0.604,6.448,"digitate","digitate",24,NA,"spawner",NA,59.42921586,1.47,NA,1.9,"hermaphrodite","zooxanthellate",-7436.49,1650.87,-133.51,-489.99,60.43,-355.18,47.82,-3.17,-2.69
"Acropora glauca",NA,NA,24.35,NA,"colonial",NA,0.00950331777710913,NA,NA,NA,"tables_or_plates","tables_or_plates",NA,NA,"spawner",NA,NA,1.46,NA,NA,"hermaphrodite","zooxanthellate",-7444.76,1660.18,-136.49,-498.5,61.07,-365.47,48.64,-3.32,-2.61
"Acropora globiceps",NA,NA,NA,NA,"colonial",NA,0.0213824649984955,NA,NA,NA,"digitate","digitate",NA,NA,NA,NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7437.88,1652.43,-134,-491.4,60.54,-356.86,47.95,-3.19,-2.67
"Acropora gomezi",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"branching_open","branching",30.56875,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7442.03,1657.1,-135.5,-495.65,60.85,-361.99,48.35,-3.26,-2.63
"Acropora grandis",NA,NA,24.23,NA,"colonial",700,0.0122718463030851,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7442.62,1657.77,-135.71,-496.26,60.9,-362.72,48.41,-3.28,-2.62
"Acropora granulosa",NA,NA,NA,NA,"colonial",100,0.00331830724035422,NA,NA,NA,"tables_or_plates","tables_or_plates",7.16,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.7,1660.11,-136.47,-498.43,61.07,-365.4,48.63,-3.31,-2.61
"Acropora haimei",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7440.85,1655.78,-135.08,-494.44,60.76,-360.51,48.23,-3.24,-2.64
"Acropora halmaherae",NA,NA,NA,NA,"colonial",NA,0.00441786466911065,NA,NA,NA,"branching_open","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",-7444.75,1660.17,-136.49,-498.49,61.07,-365.46,48.64,-3.32,-2.61
"Acropora hemprichii",NA,13.8,NA,NA,"colonial",200,0.00785398163397448,NA,NA,NA,"branching_open","branching",8.47047619047619,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate",-7444.63,1660.03,-136.44,-498.36,61.06,-365.29,48.62,-3.31,-2.61
